the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.084       0.01        0.10           0.311       0.082       0.550     
2          2               16                1000      0.088       0.02        0.18           0.317       0.085       0.178     
4          4               32                1000      0.096       0.04        0.33           0.321       0.092       0.119     
8          8               64                1000      0.111       0.07        0.58           0.336       0.106       0.141     
16         16              128               1000      0.143       0.11        0.90           0.360       0.135       0.206     
32         32              256               1000      0.212       0.15        1.21           8.538       0.194       0.293     
64         64              512               1000      0.327       0.20        1.56           0.548       0.310       0.354     
128        128             1024              1000      0.685       0.19        1.50           1.018       0.547       0.677     
256        256             2048              1000      1.513       0.17        1.35           1.746       1.438       1.543     
512        512             4096              1000      2.974       0.17        1.38           8.179       2.872       3.016     
1024       1024            8192              1000      5.249       0.20        1.56           12.182      3.981       4.193     
2048       2048            16384             1000      13.497      0.15        1.21           18.015      13.344      13.569    
4096       4096            32768             1000      16.084      0.25        2.04           21.215      15.569      15.616    
8192       8192            65536             1000      32.159      0.25        2.04           37.257      31.331      32.823    
16384      16384           131072            1000      82.508      0.20        1.59           100.197     56.750      59.834    
32768      32768           262144            1000      130.070     0.25        2.02           188.307     114.973     118.618   
65536      65536           524288            1000      272.205     0.24        1.93           383.331     236.981     250.242   
131072     131072          1048576           1000      640.822     0.20        1.64           945.074     488.071     516.310   
262144     262144          2097152           1000      1239.326    0.21        1.69           1825.475    990.275     1054.295  
524288     524288          4194304           1000      2723.472    0.19        1.54           3664.160    2013.553    2174.339  
1048576    1048576         8388608           1000      6143.976    0.17        1.37           7559.467    4279.820    5953.002  

