the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.189       0.01        0.06           0.278       0.179       0.897     
2          2               24                1000      0.207       0.01        0.12           0.484       0.201       0.861     
4          4               48                1000      0.193       0.02        0.25           0.415       0.185       0.696     
8          8               96                1000      0.191       0.04        0.50           0.349       0.184       0.939     
16         16              192               1000      0.208       0.08        0.93           0.421       0.201       0.721     
32         32              384               1000      0.199       0.16        1.93           0.314       0.189       0.654     
64         64              768               1000      0.218       0.29        3.53           0.414       0.212       1.275     
128        128             1536              1000      0.215       0.60        7.14           0.499       0.207       0.803     
256        256             3072              1000      0.256       1.00        11.98          0.524       0.246       0.985     
512        512             6144              1000      0.310       1.65        19.81          0.611       0.296       0.801     
1024       1024            12288             1000      0.399       2.57        30.81          10.861      0.369       1.016     
2048       2048            24576             1000      0.668       3.07        36.78          1.214       0.610       2.922     
4096       4096            49152             1000      1.348       3.04        36.47          2.286       1.049       2.990     
8192       8192            98304             1000      2.922       2.80        33.65          3.905       2.304       7.217     
16384      16384           196608            1000      13.357      1.23        14.72          21.591      8.754       15.074    
32768      32768           393216            1000      21.321      1.54        18.44          28.279      19.046      29.523    
65536      65536           786432            1000      60.823      1.08        12.93          69.638      57.503      64.508    
131072     131072          1572864           1000      129.756     1.01        12.12          159.516     124.758     130.352   
262144     262144          3145728           1000      256.367     1.02        12.27          269.340     252.109     273.107   
524288     524288          6291456           1000      549.118     0.95        11.46          648.618     526.614     572.262   
1048576    1048576         12582912          1000      837.666     1.25        15.02          1068.370    814.878     837.573   

