the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.086       0.07        0.28           0.335       0.082       0.144     
2          12              48                1000      0.091       0.13        0.53           0.338       0.087       0.125     
4          24              96                1000      0.098       0.24        0.98           0.134       0.096       0.170     
8          48              192               1000      0.117       0.41        1.65           0.174       0.112       0.233     
16         96              384               1000      0.151       0.63        2.54           0.389       0.144       0.440     
32         192             768               1000      0.214       0.90        3.58           0.393       0.211       0.716     
64         384             1536              1000      0.338       1.14        4.55           0.534       0.330       1.130     
128        768             3072              1000      0.971       0.79        3.16           1.280       0.722       1.686     
256        1536            6144              1000      1.954       0.79        3.15           2.367       1.356       3.099     
512        3072            12288             1000      4.032       0.76        3.05           4.734       2.908       6.263     
1024       6144            24576             1000      8.804       0.70        2.79           14.787      6.442       11.359    
2048       12288           49152             1000      17.343      0.71        2.83           23.703      16.810      23.095    
4096       24576           98304             1000      45.097      0.54        2.18           56.142      43.824      53.460    
8192       49152           196608            1000      66.603      0.74        2.95           88.393      60.690      68.220    
16384      98304           393216            1000      177.319     0.55        2.22           193.447     174.640     179.308   
32768      196608          786432            1000      274.637     0.72        2.86           283.346     257.188     276.362   
65536      393216          1572864           1000      724.319     0.54        2.17           743.016     707.496     744.284   
131072     786432          3145728           1000      1726.449    0.46        1.82           1761.821    1708.492    1730.046  
262144     1572864         6291456           1000      3483.726    0.45        1.81           3526.375    3438.856    3480.722  
524288     3145728         12582912          1000      3879.139    0.81        3.24           3956.721    3190.808    3924.314  
1048576    6291456         25165824          1000      11248.088   0.56        2.24           11466.595   11035.271   11252.303 

