the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.130       0.02        0.06           0.324       0.117       0.672     
2          4               16                1000      0.129       0.03        0.12           0.155       0.118       0.211     
4          8               32                1000      0.130       0.06        0.25           0.180       0.120       0.350     
8          16              64                1000      0.130       0.12        0.49           0.328       0.118       0.443     
16         32              128               1000      0.130       0.25        0.98           0.332       0.120       0.174     
32         64              256               1000      0.131       0.49        1.96           0.181       0.122       0.251     
64         128             512               1000      0.128       1.00        3.98           0.332       0.124       0.243     
128        256             1024              1000      0.136       1.88        7.52           0.350       0.131       0.460     
256        512             2048              1000      0.151       3.39        13.54          0.381       0.146       0.545     
512        1024            4096              1000      0.191       5.37        21.46          0.333       0.182       0.518     
1024       2048            8192              1000      0.271       7.55        30.21          0.499       0.253       0.658     
2048       4096            16384             1000      0.439       9.34        37.36          0.830       0.409       1.911     
4096       8192            32768             1000      0.860       9.52        38.10          7.225       0.781       2.105     
8192       16384           65536             1000      1.840       8.90        35.62          3.003       1.485       4.056     
16384      32768           131072            1000      5.406       6.06        24.24          11.079      4.051       9.479     
32768      65536           262144            1000      11.565      5.67        22.67          18.888      10.715      19.536    
65536      131072          524288            1000      41.208      3.18        12.72          51.911      38.427      46.691    
131072     262144          1048576           1000      88.671      2.96        11.83          102.005     86.378      95.098    
262144     524288          2097152           1000      180.809     2.90        11.60          195.356     179.076     187.108   
524288     1048576         4194304           1000      368.281     2.85        11.39          390.538     366.105     382.850   
1048576    2097152         8388608           1000      769.089     2.73        10.91          978.289     753.051     783.409   

