the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.087       0.01        0.05           0.335       0.083       0.257     
2          2               8                 1000      0.089       0.02        0.09           0.116       0.086       0.157     
4          4               16                1000      0.097       0.04        0.16           0.350       0.092       0.156     
8          8               32                1000      0.107       0.07        0.30           0.139       0.102       0.144     
16         16              64                1000      0.131       0.12        0.49           0.510       0.126       0.209     
32         32              128               1000      0.186       0.17        0.69           0.232       0.180       0.222     
64         64              256               1000      0.291       0.22        0.88           0.556       0.270       0.386     
128        128             512               1000      0.478       0.27        1.07           0.522       0.444       0.514     
256        256             1024              1000      0.870       0.29        1.18           0.917       0.801       0.905     
512        512             2048              1000      1.633       0.31        1.25           1.912       1.553       1.689     
1024       1024            4096              1000      3.167       0.32        1.29           10.047      3.039       3.276     
2048       2048            8192              1000      6.127       0.33        1.34           6.459       5.913       6.095     
4096       4096            16384             1000      12.155      0.34        1.35           18.676      11.855      12.194    
8192       8192            32768             1000      24.980      0.33        1.31           993.690     23.561      24.206    
16384      16384           65536             1000      48.945      0.33        1.34           848.955     47.312      48.618    
32768      32768           131072            1000      95.774      0.34        1.37           330.703     94.845      97.571    
65536      65536           262144            1000      191.695     0.34        1.37           369.790     190.019     193.491   
131072     131072          524288            1000      383.705     0.34        1.37           455.879     381.666     387.667   
262144     262144          1048576           1000      770.227     0.34        1.36           810.768     766.620     773.370   
524288     524288          2097152           1000      1543.369    0.34        1.36           1574.053    1537.985    1555.797  
1048576    1048576         4194304           1000      3090.128    0.34        1.36           3109.790    3081.160    3148.470  

