the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.106       0.01        0.08           0.339       0.104       0.137     
2          2               16                1000      0.115       0.02        0.14           0.226       0.100       0.476     
4          4               32                1000      0.115       0.03        0.28           0.350       0.112       0.138     
8          8               64                1000      0.130       0.06        0.49           0.167       0.123       0.132     
16         16              128               1000      0.158       0.10        0.81           0.196       0.147       0.189     
32         32              256               1000      0.289       0.11        0.89           0.566       0.257       0.401     
64         64              512               1000      0.483       0.13        1.06           0.736       0.439       0.515     
128        128             1024              1000      0.879       0.15        1.17           1.071       0.818       0.901     
256        256             2048              1000      1.671       0.15        1.23           7.394       1.575       1.744     
512        512             4096              1000      2.980       0.17        1.37           3.202       2.867       3.134     
1024       1024            8192              1000      5.833       0.18        1.40           11.840      5.554       6.851     
2048       2048            16384             1000      11.659      0.18        1.41           16.672      11.376      12.670    
4096       4096            32768             1000      23.586      0.17        1.39           29.514      20.201      21.780    
8192       8192            65536             1000      55.525      0.15        1.18           62.135      53.048      57.694    
16384      16384           131072            1000      112.708     0.15        1.16           120.947     70.483      113.231   
32768      32768           262144            1000      214.981     0.15        1.22           241.670     167.076     231.489   
65536      65536           524288            1000      430.828     0.15        1.22           470.827     340.628     399.554   
131072     131072          1048576           1000      878.341     0.15        1.19           957.593     715.897     800.460   
262144     262144          2097152           1000      1844.316    0.14        1.14           1939.027    1464.678    1868.217  
524288     524288          4194304           1000      3736.500    0.14        1.12           3862.442    3052.250    3720.902  
1048576    1048576         8388608           1000      5955.481    0.18        1.41           7616.766    4617.883    4940.490  

