the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.080       0.01        0.10           0.087       0.077       0.206     
2          2               16                1000      0.086       0.02        0.19           0.102       0.082       0.141     
4          4               32                1000      0.089       0.05        0.36           0.116       0.083       0.146     
8          8               64                1000      0.090       0.09        0.71           0.101       0.087       0.151     
16         16              128               1000      0.092       0.17        1.39           0.105       0.089       0.464     
32         32              256               1000      0.095       0.34        2.69           0.350       0.092       0.163     
64         64              512               1000      0.096       0.67        5.33           0.109       0.095       0.158     
128        128             1024              1000      0.100       1.28        10.24          0.111       0.095       0.159     
256        256             2048              1000      0.104       2.46        19.69          0.335       0.098       0.173     
512        512             4096              1000      0.107       4.79        38.28          0.116       0.104       0.192     
1024       1024            8192              1000      0.105       9.73        77.86          0.121       0.105       0.366     
2048       2048            16384             1000      0.112       18.23       145.81         0.297       0.105       0.177     
4096       4096            32768             1000      0.109       37.63       301.02         0.127       0.108       0.186     
8192       8192            65536             1000      0.116       70.59       564.74         0.123       0.113       0.188     
16384      16384           131072            1000      0.125       131.30      1050.41        0.370       0.113       0.472     
32768      32768           262144            1000      0.119       275.68      2205.43        0.141       0.115       0.193     
65536      65536           524288            1000      0.120       544.86      4358.90        0.142       0.120       0.197     
131072     131072          1048576           1000      0.124       1058.14     8465.13        0.434       0.121       0.195     
262144     262144          2097152           1000      0.126       2088.25     16705.98       0.338       0.125       0.288     
524288     524288          4194304           1000      0.126       4152.91     33223.26       0.153       0.126       0.204     
1048576    1048576         8388608           1000      0.128       8163.75     65309.97       0.158       0.127       0.405     

