the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.080       0.03        0.10           0.304       0.079       0.173     
2          4               16                1000      0.086       0.05        0.19           0.111       0.084       0.236     
4          8               32                1000      0.095       0.08        0.34           0.117       0.092       0.154     
8          16              64                1000      0.111       0.14        0.58           0.344       0.109       0.170     
16         32              128               1000      0.147       0.22        0.87           0.333       0.146       0.389     
32         64              256               1000      0.220       0.29        1.17           0.437       0.218       0.281     
64         128             512               1000      0.365       0.35        1.40           0.387       0.355       0.420     
128        256             1024              1000      0.660       0.39        1.55           0.794       0.646       0.717     
256        512             2048              1000      1.331       0.38        1.54           1.531       1.222       1.278     
512        1024            4096              1000      2.669       0.38        1.53           3.127       2.620       2.676     
1024       2048            8192              1000      5.366       0.38        1.53           14.065      3.345       3.344     
2048       4096            16384             1000      11.316      0.36        1.45           16.138      11.162      11.359    
4096       8192            32768             1000      22.322      0.37        1.47           96.487      20.413      20.700    
8192       16384           65536             1000      44.936      0.36        1.46           74.279      44.750      45.249    
16384      32768           131072            1000      86.798      0.38        1.51           128.874     82.096      82.201    
32768      65536           262144            1000      164.558     0.40        1.59           200.740     88.504      136.274   
65536      131072          524288            1000      342.635     0.38        1.53           372.308     176.586     176.709   
131072     262144          1048576           1000      710.648     0.37        1.48           737.196     633.919     684.364   
262144     524288          2097152           1000      1372.555    0.38        1.53           1447.818    707.908     1433.065  
524288     1048576         4194304           1000      2849.809    0.37        1.47           2904.567    2625.930    2638.687  
1048576    2097152         8388608           1000      5424.515    0.39        1.55           5751.862    2829.057    4839.940  

