the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.195       0.01        0.06           0.315       0.189       0.624     
2          2               24                1000      0.196       0.01        0.12           0.440       0.181       0.987     
4          4               48                1000      0.212       0.02        0.23           0.455       0.206       0.778     
8          8               96                1000      0.213       0.04        0.45           0.504       0.207       0.515     
16         16              192               1000      0.197       0.08        0.98           0.284       0.183       0.758     
32         32              384               1000      0.215       0.15        1.79           0.324       0.210       0.579     
64         64              768               1000      0.208       0.31        3.69           0.293       0.194       0.976     
128        128             1536              1000      0.232       0.55        6.61           0.558       0.227       1.001     
256        256             3072              1000      0.255       1.00        12.03          0.725       0.249       0.574     
512        512             6144              1000      0.309       1.66        19.90          0.631       0.298       0.742     
1024       1024            12288             1000      0.394       2.60        31.16          0.694       0.374       1.411     
2048       2048            24576             1000      0.670       3.06        36.69          1.359       0.603       1.736     
4096       4096            49152             1000      1.403       2.92        35.04          2.246       1.085       3.190     
8192       8192            98304             1000      3.008       2.72        32.68          4.267       2.396       7.562     
16384      16384           196608            1000      13.110      1.25        15.00          20.870      8.533       16.241    
32768      32768           393216            1000      21.490      1.52        18.30          27.572      19.022      28.917    
65536      65536           786432            1000      60.799      1.08        12.94          71.372      56.873      64.410    
131072     131072          1572864           1000      129.907     1.01        12.11          152.163     125.008     129.259   
262144     262144          3145728           1000      258.053     1.02        12.19          346.787     251.983     271.505   
524288     524288          6291456           1000      549.101     0.95        11.46          671.943     524.267     573.153   
1048576    1048576         12582912          1000      835.186     1.26        15.07          1020.466    814.020     883.599   

