the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               4                 1000      0.127       0.02        0.03           0.198       0.125       0.467     
2          4               8                 1000      0.133       0.03        0.06           0.286       0.131       0.535     
4          8               16                1000      0.129       0.06        0.12           0.217       0.127       0.465     
8          16              32                1000      0.131       0.12        0.24           0.206       0.127       0.396     
16         32              64                1000      0.131       0.24        0.49           0.311       0.128       0.400     
32         64              128               1000      0.132       0.48        0.97           0.456       0.129       0.423     
64         128             256               1000      0.133       0.96        1.93           0.271       0.128       0.151     
128        256             512               1000      0.140       1.83        3.67           0.278       0.136       0.586     
256        512             1024              1000      0.154       3.32        6.65           0.207       0.150       0.612     
512        1024            2048              1000      0.189       5.43        10.85          0.775       0.184       0.476     
1024       2048            4096              1000      0.266       7.70        15.40          0.374       0.246       1.018     
2048       4096            8192              1000      0.364       11.26       22.52          0.757       0.358       0.826     
4096       8192            16384             1000      0.612       13.39       26.78          1.345       0.599       0.941     
8192       16384           32768             1000      1.075       15.24       30.47          1.368       1.068       1.426     
16384      32768           65536             1000      2.026       16.18       32.35          8.180       2.009       2.810     
32768      65536           131072            1000      3.951       16.59       33.17          4.922       3.893       4.699     
65536      131072          262144            1000      9.841       13.32       26.64          1992.800    7.634       9.223     
131072     262144          524288            1000      15.359      17.07       34.13          23.257      15.098      19.138    
262144     524288          1048576           1000      30.894      16.97       33.94          40.802      30.508      40.813    
524288     1048576         2097152           1000      62.018      16.91       33.81          452.350     60.796      84.227    
1048576    2097152         4194304           1000      134.632     15.58       31.15          217.346     130.239     199.605   

