the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.088       0.01        0.09           0.300       0.082       0.153     
2          2               16                1000      0.090       0.02        0.18           0.157       0.084       0.137     
4          4               32                1000      0.097       0.04        0.33           0.333       0.093       0.206     
8          8               64                1000      0.107       0.07        0.60           0.337       0.104       0.207     
16         16              128               1000      0.136       0.12        0.94           0.369       0.133       0.328     
32         32              256               1000      0.262       0.12        0.98           0.310       0.192       0.460     
64         64              512               1000      0.457       0.14        1.12           0.731       0.427       1.059     
128        128             1024              1000      0.868       0.15        1.18           0.953       0.819       1.051     
256        256             2048              1000      1.740       0.15        1.18           2.065       1.695       2.359     
512        512             4096              1000      3.272       0.16        1.25           4.168       3.187       6.053     
1024       1024            8192              1000      8.304       0.12        0.99           11.617      5.689       11.955    
2048       2048            16384             1000      20.083      0.10        0.82           27.155      13.859      20.143    
4096       4096            32768             1000      37.786      0.11        0.87           45.395      26.336      42.348    
8192       8192            65536             1000      49.145      0.17        1.33           54.831      44.257      44.841    
16384      16384           131072            1000      155.092     0.11        0.85           171.678     114.687     135.231   
32768      32768           262144            1000      320.927     0.10        0.82           362.501     290.124     346.594   
65536      65536           524288            1000      377.488     0.17        1.39           398.121     354.490     379.179   
131072     131072          1048576           1000      1381.752    0.09        0.76           1563.118    1329.338    1402.301  
262144     262144          2097152           1000      2693.303    0.10        0.78           3391.306    2361.765    2670.825  
524288     524288          4194304           1000      5421.008    0.10        0.77           5781.327    5125.515    5386.180  
1048576    1048576         8388608           1000      6630.359    0.16        1.27           6878.232    6525.255    6559.995  

