the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.082       0.07        0.29           0.110       0.081       0.202     
2          12              48                1000      0.090       0.13        0.53           0.129       0.087       0.113     
4          24              96                1000      0.090       0.27        1.07           0.127       0.089       0.111     
8          48              192               1000      0.100       0.48        1.93           0.136       0.098       0.114     
16         96              384               1000      0.119       0.81        3.23           0.149       0.118       0.123     
32         192             768               1000      0.157       1.22        4.88           0.167       0.154       0.173     
64         384             1536              1000      0.236       1.63        6.51           0.268       0.228       0.241     
128        768             3072              1000      0.391       1.96        7.86           0.562       0.384       0.394     
256        1536            6144              1000      0.703       2.19        8.74           0.727       0.687       0.797     
512        3072            12288             1000      1.325       2.32        9.27           1.388       1.299       1.407     
1024       6144            24576             1000      2.578       2.38        9.53           2.613       2.542       2.601     
2048       12288           49152             1000      5.090       2.41        9.66           5.195       5.010       5.120     
4096       24576           98304             1000      9.984       2.46        9.85           15.026      9.715       10.034    
8192       49152           196608            1000      20.033      2.45        9.81           24.406      19.920      20.187    
16384      98304           393216            1000      40.039      2.46        9.82           44.232      39.788      40.249    
32768      196608          786432            1000      79.962      2.46        9.84           88.217      79.724      80.138    
65536      393216          1572864           1000      158.755     2.48        9.91           165.512     158.428     158.928   
131072     786432          3145728           1000      319.308     2.46        9.85           325.146     318.469     319.857   
262144     1572864         6291456           1000      639.338     2.46        9.84           648.307     638.213     638.850   
524288     3145728         12582912          1000      1278.757    2.46        9.84           1286.835    1276.787    1277.615  
1048576    6291456         25165824          1000      2885.114    2.18        8.72           2910.328    2877.612    2879.480  

