the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          7               16                1000      0.100       0.07        0.16           0.126       0.098       0.151     
2          14              32                1000      0.103       0.14        0.31           0.136       0.096       0.123     
4          28              64                1000      0.105       0.27        0.61           0.148       0.102       0.143     
8          56              128               1000      0.110       0.51        1.16           0.256       0.108       0.110     
16         112             256               1000      0.118       0.95        2.17           0.160       0.114       0.153     
32         224             512               1000      0.131       1.71        3.92           0.179       0.128       0.169     
64         448             1024              1000      0.163       2.75        6.29           0.216       0.152       0.232     
128        896             2048              1000      0.230       3.89        8.89           0.414       0.226       0.324     
256        1792            4096              1000      0.360       4.98        11.38          0.569       0.357       0.439     
512        3584            8192              1000      0.657       5.45        12.46          0.753       0.636       0.690     
1024       7168            16384             1000      1.217       5.89        13.46          1.274       1.191       1.256     
2048       14336           32768             1000      3.032       4.73        10.81          7.605       3.005       3.114     
4096       28672           65536             1000      4.474       6.41        14.65          4.904       4.355       5.353     
8192       57344           131072            1000      8.718       6.58        15.03          13.368      8.571       9.454     
16384      114688          262144            1000      17.087      6.71        15.34          22.345      16.980      19.412    
32768      229376          524288            1000      33.920      6.76        15.46          42.374      33.823      40.225    
65536      458752          1048576           1000      67.639      6.78        15.50          75.654      67.432      81.563    
131072     917504          2097152           1000      137.375     6.68        15.27          161.374     135.096     178.105   
262144     1835008         4194304           1000      384.750     4.77        10.90          397.555     380.660     393.100   
524288     3670016         8388608           1000      835.838     4.39        10.04          847.085     830.842     835.953   
1048576    7340032         16777216          1000      1618.249    4.54        10.37          1632.341    1607.717    1628.376  

