the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.074       0.08        0.33           0.077       0.073       0.213     
2          12              48                1000      0.075       0.16        0.64           0.082       0.073       0.108     
4          24              96                1000      0.074       0.32        1.29           0.078       0.073       0.122     
8          48              192               1000      0.076       0.63        2.52           0.092       0.075       0.126     
16         96              384               1000      0.081       1.19        4.75           0.132       0.080       0.133     
32         192             768               1000      0.091       2.11        8.42           0.107       0.090       0.114     
64         384             1536              1000      0.109       3.54        14.14          0.138       0.107       0.145     
128        768             3072              1000      0.146       5.25        21.01          0.161       0.145       0.173     
256        1536            6144              1000      0.214       7.17        28.68          0.266       0.212       0.266     
512        3072            12288             1000      0.355       8.65        34.61          0.372       0.353       0.414     
1024       6144            24576             1000      0.644       9.54        38.16          0.690       0.631       0.669     
2048       12288           49152             1000      1.192       10.31       41.25          1.233       1.188       1.208     
4096       24576           98304             1000      2.308       10.65       42.59          2.347       2.303       2.331     
8192       49152           196608            1000      4.563       10.77       43.09          9.158       4.546       4.574     
16384      98304           393216            1000      9.062       10.85       43.39          9.239       9.012       9.412     
32768      196608          786432            1000      18.122      10.85       43.40          24.618      17.949      18.371    
65536      393216          1572864           1000      36.133      10.88       43.53          40.996      35.803      38.659    
131072     786432          3145728           1000      72.416      10.86       43.44          77.142      71.680      78.910    
262144     1572864         6291456           1000      144.874     10.86       43.43          156.564     143.438     160.771   
524288     3145728         12582912          1000      324.742     9.69        38.75          332.835     320.867     327.248   
1048576    6291456         25165824          1000      678.345     9.27        37.10          686.653     673.045     674.957   

