the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.073       0.01        0.22           0.076       0.072       0.108     
2          2               32                1000      0.074       0.03        0.43           0.126       0.072       0.074     
4          4               64                1000      0.073       0.05        0.88           0.083       0.072       0.142     
8          8               128               1000      0.075       0.11        1.72           0.084       0.073       0.109     
16         16              256               1000      0.076       0.21        3.38           0.079       0.075       0.076     
32         32              512               1000      0.076       0.42        6.73           0.088       0.075       0.166     
64         64              1024              1000      0.083       0.77        12.29          0.127       0.083       0.107     
128        128             2048              1000      0.099       1.30        20.73          0.136       0.098       0.129     
256        256             4096              1000      0.129       1.98        31.67          0.165       0.128       0.275     
512        512             8192              1000      0.188       2.73        43.62          0.203       0.187       0.288     
1024       1024            16384             1000      0.307       3.34        53.41          0.330       0.304       0.323     
2048       2048            32768             1000      0.540       3.80        60.74          0.576       0.536       0.557     
4096       4096            65536             1000      1.004       4.08        65.27          1.123       1.001       1.310     
8192       8192            131072            1000      1.939       4.23        67.61          2.018       1.933       2.179     
16384      16384           262144            1000      3.814       4.30        68.73          3.857       3.802       4.115     
32768      32768           524288            1000      7.702       4.25        68.07          8.092       7.542       8.548     
65536      65536           1048576           1000      15.449      4.24        67.87          21.749      15.089      17.098    
131072     131072          2097152           1000      30.548      4.29        68.65          34.249      29.973      36.410    
262144     262144          4194304           1000      60.494      4.33        69.33          69.088      59.765      73.724    
524288     524288          8388608           1000      145.599     3.60        57.61          152.904     132.512     155.176   
1048576    1048576         16777216          1000      358.448     2.93        46.81          364.047     342.098     358.920   

