the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                10        0.075       0.08        0.32           0.086       0.073       0.234     
2          12              48                10        0.083       0.14        0.58           0.103       0.078       0.155     
4          24              96                10        0.103       0.23        0.93           0.121       0.091       0.135     
8          48              192               10        0.157       0.31        1.23           0.258       0.115       0.312     
16         96              384               10        0.280       0.34        1.37           0.473       0.227       0.763     
32         192             768               10        0.934       0.21        0.82           1.476       0.729       2.220     
64         384             1536              10        3.873       0.10        0.40           5.281       3.501       7.407     
128        768             3072              10        14.724      0.05        0.21           18.718      12.917      23.133    
256        1536            6144              10        59.430      0.03        0.10           67.288      56.291      72.785    
512        3072            12288             10        230.404     0.01        0.05           240.944     226.242     254.372   
1024       6144            24576             10        930.339     0.01        0.03           936.728     917.938     955.504   
2048       12288           49152             10        3483.008    0.00        0.01           3503.502    3467.820    3495.890  
4096       24576           98304             10        13850.410   0.00        0.01           14030.451   13709.286   13790.319 
8192       49152           196608            10        60649.002   0.00        0.00           61520.735   60058.675   60413.020 
16384      98304           393216            10        302822.607  0.00        0.00           305575.760  301346.526  302002.553

