the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.076       0.01        0.16           0.100       0.075       0.320     
2          2               24                1000      0.078       0.03        0.31           0.083       0.077       0.198     
4          4               48                1000      0.082       0.05        0.59           0.137       0.081       0.080     
8          8               96                1000      0.080       0.10        1.20           0.083       0.079       0.147     
16         16              192               1000      0.085       0.19        2.27           0.092       0.084       0.228     
32         32              384               1000      0.097       0.33        3.95           0.127       0.096       0.185     
64         64              768               1000      0.124       0.52        6.18           0.127       0.122       0.289     
128        128             1536              1000      0.177       0.72        8.66           0.220       0.174       0.297     
256        256             3072              1000      0.271       0.94        11.32          0.413       0.267       0.405     
512        512             6144              1000      0.460       1.11        13.37          0.521       0.451       0.508     
1024       1024            12288             1000      0.829       1.23        14.82          0.865       0.814       0.844     
2048       2048            24576             1000      1.551       1.32        15.84          1.748       1.540       1.973     
4096       4096            49152             1000      3.185       1.29        15.43          3.641       3.082       3.583     
8192       8192            98304             1000      6.464       1.27        15.21          7.779       6.008       8.949     
16384      16384           196608            1000      12.067      1.36        16.29          18.636      11.809      13.614    
32768      32768           393216            1000      33.000      0.99        11.92          42.526      30.553      39.403    
65536      65536           786432            1000      64.390      1.02        12.21          75.452      61.743      69.704    
131072     131072          1572864           1000      127.264     1.03        12.36          146.952     124.657     130.670   
262144     262144          3145728           1000      240.772     1.09        13.07          263.093     239.337     246.565   
524288     524288          6291456           1000      513.827     1.02        12.24          544.236     509.977     520.901   
1048576    1048576         12582912          1000      802.458     1.31        15.68          834.377     798.816     828.143   

