the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.081       0.01        0.05           9.106       0.071       0.333     
2          2               8                 1000      0.072       0.03        0.11           0.076       0.072       0.108     
4          4               16                1000      0.074       0.05        0.22           0.084       0.072       0.116     
8          8               32                1000      0.074       0.11        0.43           0.128       0.073       0.088     
16         16              64                1000      0.075       0.21        0.86           0.102       0.073       0.111     
32         32              128               1000      0.074       0.43        1.72           0.080       0.073       0.108     
64         64              256               1000      0.077       0.83        3.32           0.112       0.076       0.103     
128        128             512               1000      0.083       1.54        6.15           0.093       0.081       0.119     
256        256             1024              1000      0.096       2.66        10.63          0.108       0.096       0.134     
512        512             2048              1000      0.125       4.09        16.34          0.129       0.125       0.301     
1024       1024            4096              1000      0.185       5.53        22.12          0.194       0.184       0.218     
2048       2048            8192              1000      0.302       6.78        27.12          0.361       0.301       0.343     
4096       4096            16384             1000      0.539       7.60        30.41          4.885       0.533       0.973     
8192       8192            32768             1000      1.027       7.97        31.89          1.064       1.015       1.371     
16384      16384           65536             1000      1.969       8.32        33.28          10.333      1.950       2.289     
32768      32768           131072            1000      3.857       8.50        33.99          3.920       3.805       4.172     
65536      65536           262144            1000      7.584       8.64        34.57          7.643       7.538       7.823     
131072     131072          524288            1000      15.014      8.73        34.92          15.094      14.977      15.350    
262144     262144          1048576           1000      29.949      8.75        35.01          34.361      29.909      30.162    
524288     524288          2097152           1000      59.758      8.77        35.09          64.250      59.685      60.212    
1048576    1048576         4194304           1000      119.620     8.77        35.06          126.834     119.308     120.014   

