the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.077       0.01        0.16           0.133       0.074       0.242     
2          2               24                1000      0.077       0.03        0.31           0.081       0.075       0.102     
4          4               48                1000      0.079       0.05        0.61           0.085       0.077       0.109     
8          8               96                1000      0.077       0.10        1.24           0.132       0.076       0.109     
16         16              192               1000      0.080       0.20        2.40           0.083       0.077       0.244     
32         32              384               1000      0.084       0.38        4.57           0.108       0.081       0.091     
64         64              768               1000      0.092       0.69        8.33           0.277       0.090       0.308     
128        128             1536              1000      0.109       1.17        14.05          0.282       0.107       0.187     
256        256             3072              1000      0.145       1.76        21.13          0.295       0.143       0.444     
512        512             6144              1000      0.225       2.28        27.35          0.504       0.217       0.663     
1024       1024            12288             1000      0.372       2.75        33.00          0.566       0.365       0.554     
2048       2048            24576             1000      0.750       2.73        32.75          0.854       0.729       0.887     
4096       4096            49152             1000      1.522       2.69        32.30          1.585       1.494       2.128     
8192       8192            98304             1000      3.189       2.57        30.83          3.500       2.944       4.187     
16384      16384           196608            1000      5.904       2.77        33.30          10.678      5.716       7.707     
32768      32768           393216            1000      12.154      2.70        32.35          16.700      11.859      14.396    
65536      65536           786432            1000      24.899      2.63        31.58          30.528      23.572      30.564    
131072     131072          1572864           1000      51.875      2.53        30.32          59.198      48.381      63.037    
262144     262144          3145728           1000      118.658     2.21        26.51          131.786     112.523     140.511   
524288     524288          6291456           1000      316.386     1.66        19.89          332.525     309.815     321.713   
1048576    1048576         12582912          1000      712.251     1.47        17.67          730.418     701.525     721.542   

