the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.109       0.01        0.07           0.257       0.102       0.492     
2          2               16                1000      0.109       0.02        0.15           0.276       0.105       0.201     
4          4               32                1000      0.110       0.04        0.29           0.180       0.103       0.414     
8          8               64                1000      0.115       0.07        0.56           0.190       0.114       0.296     
16         16              128               1000      0.115       0.14        1.11           0.184       0.112       0.261     
32         32              256               1000      0.111       0.29        2.30           0.191       0.102       0.285     
64         64              512               1000      0.115       0.55        4.43           0.169       0.114       0.467     
128        128             1024              1000      0.124       1.03        8.27           0.200       0.115       0.375     
256        256             2048              1000      0.139       1.85        14.78          0.207       0.137       0.412     
512        512             4096              1000      0.174       2.94        23.55          0.236       0.169       0.521     
1024       1024            8192              1000      0.246       4.16        33.32          0.318       0.234       0.312     
2048       2048            16384             1000      0.368       5.57        44.57          0.508       0.345       0.834     
4096       4096            32768             1000      0.690       5.93        47.46          0.824       0.636       1.095     
8192       8192            65536             1000      1.212       6.76        54.09          1.305       1.156       1.489     
16384      16384           131072            1000      2.332       7.02        56.19          2.611       2.234       3.217     
32768      32768           262144            1000      5.685       5.76        46.11          9.543       5.271       6.865     
65536      65536           524288            1000      11.322      5.79        46.31          16.414      10.695      13.760    
131072     131072          1048576           1000      22.449      5.84        46.71          27.178      21.265      30.505    
262144     262144          2097152           1000      44.128      5.94        47.52          61.872      42.566      65.193    
524288     524288          4194304           1000      113.448     4.62        36.97          140.430     98.654      138.586   
1048576    1048576         8388608           1000      330.006     3.18        25.42          353.046     301.448     335.558   

