the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.073       0.01        0.11           0.209       0.072       0.108     
2          2               16                1000      0.075       0.03        0.21           0.086       0.074       0.109     
4          4               32                1000      0.076       0.05        0.42           0.083       0.075       0.115     
8          8               64                1000      0.074       0.11        0.87           0.126       0.073       0.248     
16         16              128               1000      0.076       0.21        1.69           0.083       0.075       0.155     
32         32              256               1000      0.077       0.42        3.35           0.132       0.076       0.122     
64         64              512               1000      0.082       0.78        6.27           0.299       0.080       0.110     
128        128             1024              1000      0.089       1.43        11.46          0.135       0.087       0.300     
256        256             2048              1000      0.106       2.42        19.34          0.284       0.103       0.184     
512        512             4096              1000      0.144       3.55        28.37          0.200       0.134       0.495     
1024       1024            8192              1000      0.207       4.94        39.55          0.261       0.197       0.321     
2048       2048            16384             1000      0.330       6.20        49.60          0.495       0.319       0.500     
4096       4096            32768             1000      0.766       5.35        42.77          1.070       0.615       1.539     
8192       8192            65536             1000      1.511       5.42        43.37          2.120       1.275       2.879     
16384      16384           131072            1000      3.357       4.88        39.05          7.280       2.592       6.338     
32768      32768           262144            1000      12.479      2.63        21.01          14.226      11.807      14.396    
65536      65536           524288            1000      33.649      1.95        15.58          37.616      32.335      34.379    
131072     131072          1048576           1000      74.410      1.76        14.09          79.882      72.660      73.740    
262144     262144          2097152           1000      157.570     1.66        13.31          171.582     154.612     156.620   
524288     524288          4194304           1000      319.805     1.64        13.12          333.563     314.675     321.591   
1048576    1048576         8388608           1000      702.018     1.49        11.95          719.401     662.787     691.127   

