the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.073       0.01        0.11           0.123       0.072       0.122     
2          2               16                1000      0.073       0.03        0.22           0.161       0.073       0.118     
4          4               32                1000      0.076       0.05        0.42           0.085       0.075       0.125     
8          8               64                1000      0.080       0.10        0.80           0.136       0.078       0.126     
16         16              128               1000      0.083       0.19        1.54           0.117       0.083       0.385     
32         32              256               1000      0.093       0.34        2.75           0.142       0.092       0.168     
64         64              512               1000      0.113       0.57        4.54           0.431       0.111       0.262     
128        128             1024              1000      0.153       0.84        6.68           0.321       0.148       0.183     
256        256             2048              1000      0.226       1.13        9.04           0.524       0.224       0.607     
512        512             4096              1000      0.377       1.36        10.88          0.540       0.374       0.585     
1024       1024            8192              1000      0.676       1.51        12.12          0.847       0.674       1.017     
2048       2048            16384             1000      1.361       1.50        12.04          1.733       1.276       1.719     
4096       4096            32768             1000      2.688       1.52        12.19          7.501       2.499       4.933     
8192       8192            65536             1000      5.970       1.37        10.98          7.907       5.182       10.835    
16384      16384           131072            1000      15.883      1.03        8.25           21.123      14.811      22.314    
32768      32768           262144            1000      49.044      0.67        5.35           55.084      46.375      51.453    
65536      65536           524288            1000      100.890     0.65        5.20           107.326     98.184      102.096   
131072     131072          1048576           1000      217.063     0.60        4.83           229.372     212.809     217.766   
262144     262144          2097152           1000      503.959     0.52        4.16           516.450     450.169     519.685   
524288     524288          4194304           1000      1118.032    0.47        3.75           1139.613    1065.941    1132.676  
1048576    1048576         8388608           1000      1295.587    0.81        6.47           1370.733    1285.671    1406.760  

