the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.070       0.01        0.11           0.072       0.070       0.119     
2          2               16                1000      0.070       0.03        0.23           0.078       0.070       0.084     
4          4               32                1000      0.071       0.06        0.45           0.075       0.071       0.100     
8          8               64                1000      0.072       0.11        0.89           0.073       0.072       0.080     
16         16              128               1000      0.073       0.22        1.76           0.085       0.072       0.102     
32         32              256               1000      0.073       0.44        3.50           0.080       0.073       0.080     
64         64              512               1000      0.074       0.87        6.95           0.076       0.073       0.101     
128        128             1024              1000      0.074       1.73        13.82          0.109       0.074       0.081     
256        256             2048              1000      0.075       3.43        27.48          0.076       0.074       0.089     
512        512             4096              1000      0.075       6.82        54.56          0.079       0.075       0.109     
1024       1024            8192              1000      0.075       13.60       108.82         0.088       0.075       0.094     
2048       2048            16384             1000      0.076       26.93       215.47         0.084       0.076       0.111     
4096       4096            32768             1000      0.077       53.27       426.14         0.089       0.076       0.096     
8192       8192            65536             1000      0.077       106.20      849.63         0.124       0.076       0.091     
16384      16384           131072            1000      0.077       211.47      1691.73        0.117       0.077       0.102     
32768      32768           262144            1000      0.078       422.59      3380.76        0.092       0.076       0.092     
65536      65536           524288            1000      0.079       833.37      6666.94        0.125       0.078       0.092     
131072     131072          1048576           1000      0.079       1658.66     13269.25       0.092       0.078       0.114     
262144     262144          2097152           1000      0.079       3319.37     26554.97       0.107       0.078       0.113     
524288     524288          4194304           1000      0.080       6577.53     52620.21       0.126       0.079       0.112     
1048576    1048576         8388608           1000      0.080       13082.83    104662.63      0.089       0.080       0.101     

