the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.120       0.01        0.07           0.207       0.103       0.214     
2          2               16                1000      0.119       0.02        0.13           0.179       0.103       0.448     
4          4               32                1000      0.121       0.03        0.26           0.206       0.121       0.669     
8          8               64                1000      0.117       0.07        0.55           0.174       0.109       1.100     
16         16              128               1000      0.127       0.13        1.01           0.260       0.123       0.402     
32         32              256               1000      0.124       0.26        2.07           0.279       0.116       0.428     
64         64              512               1000      0.128       0.50        4.00           0.183       0.123       0.384     
128        128             1024              1000      0.134       0.95        7.63           0.297       0.133       0.312     
256        256             2048              1000      0.151       1.69        13.54          0.349       0.148       0.551     
512        512             4096              1000      0.181       2.83        22.61          0.451       0.179       0.409     
1024       1024            8192              1000      0.236       4.33        34.65          0.404       0.219       0.369     
2048       2048            16384             1000      0.382       5.36        42.89          0.498       0.343       0.534     
4096       4096            32768             1000      0.720       5.69        45.49          0.846       0.667       0.829     
8192       8192            65536             1000      1.239       6.61        52.90          1.352       1.168       1.493     
16384      16384           131072            1000      2.314       7.08        56.64          2.559       2.206       2.793     
32768      32768           262144            1000      5.571       5.88        47.05          6.263       5.099       6.117     
65536      65536           524288            1000      11.441      5.73        45.83          17.842      10.592      14.493    
131072     131072          1048576           1000      22.723      5.77        46.15          27.980      21.380      30.080    
262144     262144          2097152           1000      45.933      5.71        45.66          59.590      43.358      63.251    
524288     524288          4194304           1000      124.322     4.22        33.74          142.891     104.325     142.878   
1048576    1048576         8388608           1000      304.125     3.45        27.58          310.176     290.364     310.210   

