the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.074       0.01        0.11           0.123       0.073       0.108     
2          2               16                1000      0.076       0.03        0.21           0.131       0.075       0.103     
4          4               32                1000      0.076       0.05        0.42           0.116       0.076       0.165     
8          8               64                1000      0.075       0.11        0.85           0.134       0.075       0.177     
16         16              128               1000      0.076       0.21        1.68           0.086       0.076       0.128     
32         32              256               1000      0.077       0.42        3.32           0.126       0.076       0.325     
64         64              512               1000      0.081       0.79        6.32           0.135       0.080       0.111     
128        128             1024              1000      0.089       1.45        11.57          0.124       0.087       0.100     
256        256             2048              1000      0.106       2.41        19.31          0.173       0.103       0.172     
512        512             4096              1000      0.138       3.71        29.72          0.196       0.134       0.268     
1024       1024            8192              1000      0.215       4.76        38.08          0.308       0.200       0.259     
2048       2048            16384             1000      0.335       6.10        48.84          0.651       0.321       0.497     
4096       4096            32768             1000      0.727       5.64        45.08          1.072       0.605       1.156     
8192       8192            65536             1000      1.579       5.19        41.51          2.070       1.161       3.034     
16384      16384           131072            1000      3.342       4.90        39.22          5.077       2.710       6.357     
32768      32768           262144            1000      12.853      2.55        20.39          18.527      11.828      14.383    
65536      65536           524288            1000      33.785      1.94        15.52          38.674      32.466      36.068    
131072     131072          1048576           1000      74.433      1.76        14.09          83.516      72.789      75.354    
262144     262144          2097152           1000      157.461     1.66        13.32          169.689     154.135     161.457   
524288     524288          4194304           1000      318.994     1.64        13.15          330.858     314.379     326.750   
1048576    1048576         8388608           1000      673.135     1.56        12.46          712.972     661.988     692.665   

