the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          3               4                 1000      0.111       0.03        0.04           0.177       0.108       0.413     
2          6               8                 1000      0.113       0.05        0.07           0.171       0.108       0.222     
4          12              16                1000      0.113       0.11        0.14           0.176       0.108       0.398     
8          24              32                1000      0.111       0.22        0.29           0.179       0.109       0.196     
16         48              64                1000      0.113       0.42        0.57           0.189       0.109       0.155     
32         96              128               1000      0.115       0.83        1.11           0.258       0.111       0.152     
64         192             256               1000      0.116       1.65        2.20           0.177       0.114       0.180     
128        384             512               1000      0.124       3.11        4.14           0.201       0.121       0.174     
256        768             1024              1000      0.140       5.47        7.29           0.196       0.136       0.209     
512        1536            2048              1000      0.183       8.37        11.16          0.286       0.173       0.404     
1024       3072            4096              1000      0.250       12.30       16.40          0.323       0.243       0.395     
2048       6144            8192              1000      0.396       15.51       20.68          0.424       0.388       0.572     
4096       12288           16384             1000      0.687       17.89       23.85          0.723       0.681       0.691     
8192       24576           32768             1000      1.313       18.72       24.97          7.441       1.281       1.393     
16384      49152           65536             1000      2.501       19.65       26.20          6.792       2.459       2.876     
32768      98304           131072            1000      4.961       19.81       26.42          10.744      4.817       5.450     
65536      196608          262144            1000      9.649       20.38       27.17          15.735      9.496       11.146    
131072     393216          524288            1000      18.947      20.75       27.67          29.480      18.805      20.583    
262144     786432          1048576           1000      37.627      20.90       27.87          42.111      37.430      45.233    
524288     1572864         2097152           1000      75.013      20.97       27.96          82.231      74.727      101.906   
1048576    3145728         4194304           1000      150.119     20.95       27.94          185.964     149.305     231.410   

