the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.075       0.01        0.21           0.088       0.074       0.199     
2          2               32                1000      0.075       0.03        0.43           0.109       0.072       0.088     
4          4               64                1000      0.074       0.05        0.86           0.078       0.074       0.136     
8          8               128               1000      0.076       0.11        1.68           0.128       0.075       0.120     
16         16              256               1000      0.078       0.20        3.28           0.120       0.076       0.104     
32         32              512               1000      0.080       0.40        6.41           0.086       0.079       0.096     
64         64              1024              1000      0.088       0.72        11.57          0.097       0.087       0.112     
128        128             2048              1000      0.107       1.19        19.05          0.153       0.106       0.184     
256        256             4096              1000      0.144       1.78        28.52          0.205       0.142       0.177     
512        512             8192              1000      0.218       2.35        37.65          0.243       0.215       0.250     
1024       1024            16384             1000      0.363       2.82        45.19          0.405       0.360       0.386     
2048       2048            32768             1000      0.654       3.13        50.14          0.717       0.651       0.698     
4096       4096            65536             1000      1.256       3.26        52.18          1.304       1.233       1.260     
8192       8192            131072            1000      2.431       3.37        53.93          5.952       2.405       2.480     
16384      16384           262144            1000      4.804       3.41        54.57          9.431       4.744       4.854     
32768      32768           524288            1000      9.707       3.38        54.01          13.517      9.440       10.086    
65536      65536           1048576           1000      21.448      3.06        48.89          25.846      19.259      21.888    
131072     131072          2097152           1000      39.589      3.31        52.97          43.675      37.777      46.082    
262144     262144          4194304           1000      77.184      3.40        54.34          90.500      75.410      92.051    
524288     524288          8388608           1000      220.213     2.38        38.09          230.807     201.202     227.938   
1048576    1048576         16777216          1000      467.008     2.25        35.92          477.559     455.551     469.142   

