the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.071       0.08        0.34           0.128       0.070       0.140     
2          12              48                1000      0.104       0.12        0.46           0.139       0.095       0.212     
4          24              96                1000      0.103       0.23        0.93           0.143       0.095       0.267     
8          48              192               1000      0.106       0.45        1.81           0.146       0.099       0.110     
16         96              384               1000      0.108       0.89        3.56           0.151       0.101       0.206     
32         192             768               1000      0.108       1.77        7.10           0.174       0.103       0.211     
64         384             1536              1000      0.114       3.38        13.51          0.149       0.106       0.131     
128        768             3072              1000      0.128       6.01        24.03          0.168       0.125       0.212     
256        1536            6144              1000      0.178       8.61        34.45          0.229       0.174       0.519     
512        3072            12288             1000      0.272       11.30       45.21          0.312       0.269       0.346     
1024       6144            24576             1000      0.463       13.28       53.12          0.600       0.459       0.528     
2048       12288           49152             1000      0.839       14.64       58.57          0.873       0.836       0.924     
4096       24576           98304             1000      1.594       15.42       61.68          1.740       1.591       1.671     
8192       49152           196608            1000      3.119       15.76       63.03          3.266       3.116       3.214     
16384      98304           393216            1000      6.164       15.95       63.80          11.767      6.150       6.287     
32768      196608          786432            1000      12.237      16.07       64.27          17.194      12.202      12.371    
65536      393216          1572864           1000      24.648      15.95       63.81          32.004      24.376      24.633    
131072     786432          3145728           1000      48.722      16.14       64.56          56.242      48.577      50.595    
262144     1572864         6291456           1000      97.131      16.19       64.77          106.273     97.001      104.147   
524288     3145728         12582912          1000      194.110     16.21       64.82          203.000     193.852     228.912   
1048576    6291456         25165824          1000      415.507     15.14       60.57          600.469     393.688     475.713   

