the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               16                1000      0.075       0.03        0.21           0.289       0.074       0.128     
2          4               32                1000      0.078       0.05        0.41           0.303       0.076       0.476     
4          8               64                1000      0.079       0.10        0.81           0.270       0.077       0.111     
8          16              128               1000      0.084       0.19        1.53           0.268       0.082       0.089     
16         32              256               1000      0.091       0.35        2.81           0.308       0.089       0.510     
32         64              512               1000      0.107       0.60        4.81           0.290       0.103       0.124     
64         128             1024              1000      0.137       0.94        7.49           0.513       0.134       0.388     
128        256             2048              1000      0.198       1.29        10.33          0.362       0.195       0.718     
256        512             4096              1000      0.323       1.58        12.67          0.540       0.317       0.777     
512        1024            8192              1000      0.569       1.80        14.39          0.783       0.563       0.801     
1024       2048            16384             1000      1.068       1.92        15.35          1.455       1.056       1.364     
2048       4096            32768             1000      2.063       1.99        15.88          2.281       2.048       2.486     
4096       8192            65536             1000      4.156       1.97        15.77          4.707       4.045       4.687     
8192       16384           131072            1000      8.364       1.96        15.67          13.658      8.241       8.903     
16384      32768           262144            1000      16.829      1.95        15.58          22.337      16.565      17.386    
32768      65536           524288            1000      33.275      1.97        15.76          39.173      32.991      34.320    
65536      131072          1048576           1000      64.230      2.04        16.33          70.505      63.865      65.328    
131072     262144          2097152           1000      125.962     2.08        16.65          135.515     119.733     127.550   
262144     524288          4194304           1000      256.843     2.04        16.33          274.520     253.070     254.415   
524288     1048576         8388608           1000      529.453     1.98        15.84          564.090     527.002     530.319   
1048576    2097152         16777216          1000      1027.462    2.04        16.33          1063.739    1024.839    1027.289  

