the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.141       0.01        0.11           0.350       0.137       2.122     
2          2               32                1000      0.142       0.01        0.23           0.523       0.140       0.353     
4          4               64                1000      0.141       0.03        0.45           0.439       0.139       0.949     
8          8               128               1000      0.137       0.06        0.94           0.537       0.133       0.358     
16         16              256               1000      0.138       0.12        1.85           0.537       0.135       0.657     
32         32              512               1000      0.151       0.21        3.39           0.543       0.139       0.326     
64         64              1024              1000      0.167       0.38        6.14           0.489       0.163       0.371     
128        128             2048              1000      0.216       0.59        9.50           0.486       0.204       0.489     
256        256             4096              1000      0.285       0.90        14.35          0.721       0.274       0.542     
512        512             8192              1000      0.547       0.94        14.99          0.780       0.427       0.569     
1024       1024            16384             1000      0.797       1.28        20.55          1.188       0.747       1.086     
2048       2048            32768             1000      1.707       1.20        19.19          2.100       1.458       2.100     
4096       4096            65536             1000      3.285       1.25        19.95          3.906       2.989       4.484     
8192       8192            131072            1000      7.164       1.14        18.30          11.544      6.781       9.053     
16384      16384           262144            1000      16.461      1.00        15.93          50.726      15.923      18.209    
32768      32768           524288            1000      34.812      0.94        15.06          42.730      33.851      38.461    
65536      65536           1048576           1000      71.589      0.92        14.65          104.949     70.423      90.433    
131072     131072          2097152           1000      181.388     0.72        11.56          221.366     162.448     206.241   
262144     262144          4194304           1000      453.115     0.58        9.26           503.593     433.404     462.466   
524288     524288          8388608           1000      954.962     0.55        8.78           1186.530    931.400     957.930   
1048576    1048576         16777216          1000      2202.777    0.48        7.62           2220.206    2181.934    1977.791  

