the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               24                1000      0.183       0.01        0.13           0.551       0.174       0.831     
2          4               48                1000      0.179       0.02        0.27           0.538       0.171       1.028     
4          8               96                1000      0.180       0.04        0.53           0.610       0.171       0.917     
8          16              192               1000      0.181       0.09        1.06           0.411       0.169       0.840     
16         32              384               1000      0.187       0.17        2.06           0.477       0.179       1.157     
32         64              768               1000      0.192       0.33        4.00           0.608       0.179       0.611     
64         128             1536              1000      0.205       0.62        7.49           0.477       0.196       0.868     
128        256             3072              1000      0.230       1.11        13.34          0.738       0.214       0.625     
256        512             6144              1000      0.279       1.84        22.04          0.601       0.260       1.264     
512        1024            12288             1000      0.388       2.64        31.68          1.524       0.365       0.922     
1024       2048            24576             1000      0.690       2.97        35.60          6.248       0.646       2.111     
2048       4096            49152             1000      1.144       3.58        42.95          1.455       1.071       2.040     
4096       8192            98304             1000      2.084       3.93        47.18          2.665       1.929       3.675     
8192       16384           196608            1000      4.651       3.52        42.27          5.582       4.387       6.367     
16384      32768           393216            1000      9.586       3.42        41.02          16.662      9.001       11.476    
32768      65536           786432            1000      19.405      3.38        40.53          55.280      18.457      24.661    
65536      131072          1572864           1000      42.331      3.10        37.16          67.787      39.936      52.858    
131072     262144          3145728           1000      88.518      2.96        35.54          117.635     79.145      103.166   
262144     524288          6291456           1000      239.331     2.19        26.29          342.402     234.852     240.806   
524288     1048576         12582912          1000      511.146     2.05        24.62          677.467     496.726     520.007   
1048576    2097152         25165824          1000      1335.285    1.57        18.85          1390.947    1321.990    1337.566  

