the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.076       0.01        0.21           0.308       0.074       0.286     
2          2               32                1000      0.076       0.03        0.42           0.300       0.074       0.105     
4          4               64                1000      0.076       0.05        0.84           0.191       0.076       0.091     
8          8               128               1000      0.078       0.10        1.63           0.300       0.077       0.109     
16         16              256               1000      0.082       0.20        3.12           0.206       0.081       0.281     
32         32              512               1000      0.088       0.36        5.82           0.274       0.086       0.207     
64         64              1024              1000      0.102       0.63        10.05          0.275       0.100       0.135     
128        128             2048              1000      0.132       0.97        15.47          0.422       0.129       0.339     
256        256             4096              1000      0.190       1.35        21.54          0.444       0.187       0.543     
512        512             8192              1000      0.306       1.67        26.76          0.657       0.303       0.670     
1024       1024            16384             1000      0.544       1.88        30.12          0.749       0.541       1.056     
2048       2048            32768             1000      1.014       2.02        32.31          1.223       1.009       1.393     
4096       4096            65536             1000      1.984       2.06        33.03          6.908       1.942       2.555     
8192       8192            131072            1000      3.838       2.13        34.15          4.207       3.811       4.565     
16384      16384           262144            1000      8.111       2.02        32.32          13.881      7.645       9.092     
32768      32768           524288            1000      15.616      2.10        33.57          19.801      15.164      18.351    
65536      65536           1048576           1000      31.664      2.07        33.12          49.697      30.602      37.820    
131072     131072          2097152           1000      61.463      2.13        34.12          99.665      60.138      78.424    
262144     262144          4194304           1000      164.760     1.59        25.46          230.179     159.186     168.997   
524288     524288          8388608           1000      358.788     1.46        23.38          373.064     350.551     357.119   
1048576    1048576         16777216          1000      823.346     1.27        20.38          858.547     768.150     827.565   

