the current thread cpu affinity is 0xffffffff, policy is 0, priority is 0
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.090       0.01        0.09           0.285       0.088       0.502     
2          2               16                1000      0.107       0.02        0.15           0.218       0.101       0.478     
4          4               32                1000      0.124       0.03        0.26           0.521       0.121       0.852     
8          8               64                1000      0.166       0.05        0.39           0.364       0.163       0.561     
16         16              128               1000      0.260       0.06        0.49           0.438       0.258       0.415     
32         32              256               1000      0.427       0.07        0.60           0.468       0.423       0.764     
64         64              512               1000      0.766       0.08        0.67           0.964       0.760       1.150     
128        128             1024              1000      1.452       0.09        0.71           1.766       1.421       1.932     
256        256             2048              1000      2.765       0.09        0.74           3.388       2.738       3.017     
512        512             4096              1000      5.444       0.09        0.75           5.686       5.402       6.248     
1024       1024            8192              1000      14.445      0.07        0.57           3680.596    10.696      11.144    
2048       2048            16384             1000      22.856      0.09        0.72           1516.872    21.290      21.861    
4096       4096            32768             1000      42.638      0.10        0.77           67.712      42.446      42.953    
8192       8192            65536             1000      85.773      0.10        0.76           362.733     84.910      85.598    
16384      16384           131072            1000      170.891     0.10        0.77           324.838     169.848     172.960   
32768      32768           262144            1000      341.821     0.10        0.77           481.519     340.062     342.504   
65536      65536           524288            1000      686.020     0.10        0.76           763.568     683.302     688.494   
131072     131072          1048576           1000      1362.380    0.10        0.77           1408.777    1357.331    1378.354  
262144     262144          2097152           1000      2728.195    0.10        0.77           2892.293    2717.074    2780.811  
524288     524288          4194304           1000      5545.844    0.09        0.76           5740.275    5522.489    5540.873  
1048576    1048576         8388608           1000      11059.598   0.09        0.76           11113.215   11033.064   11084.971 

