the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.178       0.01        0.07           0.368       0.173       0.905     
2          2               24                1000      0.182       0.01        0.13           0.374       0.172       0.657     
4          4               48                1000      0.182       0.02        0.26           0.431       0.170       0.755     
8          8               96                1000      0.182       0.04        0.53           0.461       0.170       0.668     
16         16              192               1000      0.182       0.09        1.05           0.409       0.177       0.771     
32         32              384               1000      0.187       0.17        2.05           0.429       0.176       0.710     
64         64              768               1000      0.193       0.33        3.97           0.439       0.181       0.999     
128        128             1536              1000      0.206       0.62        7.45           0.525       0.194       0.746     
256        256             3072              1000      0.226       1.13        13.60          0.471       0.219       1.031     
512        512             6144              1000      0.279       1.84        22.04          0.609       0.261       0.797     
1024       1024            12288             1000      0.406       2.52        30.26          0.738       0.371       1.096     
2048       2048            24576             1000      0.624       3.28        39.38          1.094       0.579       1.640     
4096       4096            49152             1000      1.168       3.51        42.08          6.737       1.039       2.479     
8192       8192            98304             1000      2.643       3.10        37.20          3.806       2.209       7.299     
16384      16384           196608            1000      7.666       2.14        25.65          12.684      6.883       15.265    
32768      32768           393216            1000      23.657      1.39        16.62          35.225      20.888      33.972    
65536      65536           786432            1000      58.864      1.11        13.36          70.530      55.540      69.991    
131072     131072          1572864           1000      132.924     0.99        11.83          145.272     128.966     134.423   
262144     262144          3145728           1000      274.343     0.96        11.47          290.059     267.284     293.288   
524288     524288          6291456           1000      632.993     0.83        9.94           660.642     616.506     648.102   
1048576    1048576         12582912          1000      1041.456    1.01        12.08          1096.927    1029.671    1046.115  

