the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.074       0.01        0.05           0.285       0.073       0.302     
2          2               8                 1000      0.074       0.03        0.11           0.388       0.074       0.089     
4          4               16                1000      0.075       0.05        0.21           0.288       0.074       0.108     
8          8               32                1000      0.077       0.10        0.42           0.240       0.076       0.105     
16         16              64                1000      0.080       0.20        0.80           0.306       0.077       0.091     
32         32              128               1000      0.081       0.39        1.58           0.265       0.078       0.279     
64         64              256               1000      0.082       0.78        3.13           0.281       0.079       0.137     
128        128             512               1000      0.085       1.50        6.01           0.312       0.083       0.252     
256        256             1024              1000      0.100       2.57        10.26          0.288       0.098       0.266     
512        512             2048              1000      0.129       3.98        15.91          0.339       0.127       0.164     
1024       1024            4096              1000      0.188       5.46        21.84          0.586       0.186       0.422     
2048       2048            8192              1000      0.306       6.69        26.77          0.441       0.302       0.526     
4096       4096            16384             1000      0.546       7.50        30.01          0.770       0.536       0.999     
8192       8192            32768             1000      1.242       6.60        26.39          1.459       1.202       2.107     
16384      16384           65536             1000      2.398       6.83        27.33          2.509       2.361       4.088     
32768      32768           131072            1000      4.778       6.86        27.43          10.411      4.690       7.666     
65536      65536           262144            1000      9.560       6.86        27.42          9.967       9.268       15.494    
131072     131072          524288            1000      18.659      7.02        28.10          48.353      18.174      30.281    
262144     262144          1048576           1000      37.053      7.07        28.30          43.324      36.375      61.384    
524288     524288          2097152           1000      74.223      7.06        28.25          111.883     73.167      124.809   
1048576    1048576         4194304           1000      187.659     5.59        22.35          255.247     183.901     249.772   

