the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.073       0.01        0.11           0.277       0.073       0.199     
2          2               16                1000      0.074       0.03        0.22           0.230       0.073       0.270     
4          4               32                1000      0.075       0.05        0.43           0.303       0.074       0.285     
8          8               64                1000      0.080       0.10        0.80           0.264       0.076       0.286     
16         16              128               1000      0.082       0.20        1.56           0.264       0.077       0.281     
32         32              256               1000      0.084       0.38        3.03           0.284       0.078       0.272     
64         64              512               1000      0.087       0.74        5.91           0.305       0.084       0.470     
128        128             1024              1000      0.100       1.27        10.20          0.293       0.099       0.484     
256        256             2048              1000      0.131       1.95        15.63          0.328       0.129       0.338     
512        512             4096              1000      0.204       2.51        20.05          9.180       0.189       0.645     
1024       1024            8192              1000      0.314       3.26        26.07          0.605       0.311       0.704     
2048       2048            16384             1000      0.561       3.65        29.22          0.751       0.558       0.807     
4096       4096            32768             1000      1.047       3.91        31.30          1.336       1.042       1.960     
8192       8192            65536             1000      2.035       4.02        32.20          2.262       2.017       2.657     
16384      16384           131072            1000      4.128       3.97        31.75          8.116       3.982       5.664     
32768      32768           262144            1000      8.219       3.99        31.90          13.241      8.062       10.619    
65536      65536           524288            1000      16.497      3.97        31.78          23.005      15.686      21.035    
131072     131072          1048576           1000      34.011      3.85        30.83          49.169      31.311      41.994    
262144     262144          2097152           1000      72.318      3.62        29.00          128.570     62.759      94.309    
524288     524288          4194304           1000      149.826     3.50        27.99          270.723     135.920     196.763   
1048576    1048576         8388608           1000      420.105     2.50        19.97          477.686     409.918     431.938   

