the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.073       0.01        0.05           0.288       0.073       0.199     
2          2               8                 1000      0.074       0.03        0.11           0.306       0.074       0.470     
4          4               16                1000      0.075       0.05        0.21           0.281       0.074       0.368     
8          8               32                1000      0.077       0.10        0.42           0.301       0.076       0.488     
16         16              64                1000      0.078       0.21        0.82           0.187       0.077       0.274     
32         32              128               1000      0.082       0.39        1.55           0.303       0.079       0.320     
64         64              256               1000      0.083       0.77        3.08           0.203       0.081       0.266     
128        128             512               1000      0.087       1.47        5.87           0.108       0.086       0.293     
256        256             1024              1000      0.098       2.63        10.50          0.296       0.096       0.202     
512        512             2048              1000      0.120       4.28        17.13          0.502       0.117       0.158     
1024       1024            4096              1000      0.165       6.19        24.75          0.324       0.160       0.188     
2048       2048            8192              1000      0.245       8.37        33.47          0.414       0.240       0.276     
4096       4096            16384             1000      0.411       9.97        39.89          0.763       0.400       0.474     
8192       8192            32768             1000      0.770       10.64       42.58          1.154       0.756       1.048     
16384      16384           65536             1000      1.516       10.81       43.23          9.416       1.485       2.413     
32768      32768           131072            1000      3.111       10.53       42.14          3.806       2.956       4.300     
65536      65536           262144            1000      7.356       8.91        35.63          31.162      6.932       10.033    
131072     131072          524288            1000      15.336      8.55        34.19          53.167      14.783      21.704    
262144     262144          1048576           1000      31.198      8.40        33.61          61.618      30.127      43.714    
524288     524288          2097152           1000      62.649      8.37        33.47          132.797     60.957      91.733    
1048576    1048576         4194304           1000      135.876     7.72        30.87          266.961     127.420     204.118   

