the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.075       0.01        0.16           0.277       0.074       0.201     
2          2               24                1000      0.075       0.03        0.32           0.213       0.074       0.392     
4          4               48                1000      0.076       0.05        0.63           0.210       0.075       0.310     
8          8               96                1000      0.078       0.10        1.23           0.358       0.076       0.604     
16         16              192               1000      0.079       0.20        2.42           0.266       0.078       0.281     
32         32              384               1000      0.081       0.39        4.72           0.265       0.081       0.456     
64         64              768               1000      0.089       0.72        8.62           0.307       0.086       0.476     
128        128             1536              1000      0.099       1.29        15.51          0.330       0.096       0.425     
256        256             3072              1000      0.123       2.07        24.89          0.378       0.121       0.370     
512        512             6144              1000      0.178       2.88        34.52          0.350       0.173       0.373     
1024       1024            12288             1000      0.280       3.66        43.91          0.658       0.275       0.612     
2048       2048            24576             1000      0.502       4.08        48.96          0.759       0.482       0.541     
4096       4096            49152             1000      0.950       4.31        51.73          1.267       0.922       1.677     
8192       8192            98304             1000      1.817       4.51        54.09          2.195       1.772       2.758     
16384      16384           196608            1000      4.033       4.06        48.75          4.552       3.804       5.662     
32768      32768           393216            1000      8.133       4.03        48.35          35.119      7.782       10.379    
65536      65536           786432            1000      16.847      3.89        46.68          24.945      16.318      21.650    
131072     131072          1572864           1000      36.312      3.61        43.32          70.305      35.597      49.383    
262144     262144          3145728           1000      75.953      3.45        41.42          118.000     73.900      106.081   
524288     524288          6291456           1000      231.046     2.27        27.23          336.322     220.330     242.783   
1048576    1048576         12582912          1000      535.486     1.96        23.50          588.069     502.440     549.829   

