the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.074       0.01        0.05           0.288       0.073       0.302     
2          2               8                 1000      0.074       0.03        0.11           0.207       0.074       0.276     
4          4               16                1000      0.075       0.05        0.21           0.173       0.074       0.476     
8          8               32                1000      0.076       0.11        0.42           0.201       0.076       0.292     
16         16              64                1000      0.078       0.21        0.82           0.292       0.076       0.093     
32         32              128               1000      0.078       0.41        1.63           0.129       0.078       0.292     
64         64              256               1000      0.081       0.79        3.15           0.293       0.080       0.090     
128        128             512               1000      0.087       1.46        5.86           0.328       0.086       0.192     
256        256             1024              1000      0.096       2.65        10.61          0.266       0.095       0.112     
512        512             2048              1000      0.119       4.31        17.25          0.313       0.117       0.168     
1024       1024            4096              1000      0.164       6.24        24.97          0.348       0.159       0.387     
2048       2048            8192              1000      0.244       8.40        33.59          0.406       0.239       0.317     
4096       4096            16384             1000      0.409       10.02       40.10          0.722       0.399       0.496     
8192       8192            32768             1000      0.776       10.55       42.21          1.005       0.763       1.225     
16384      16384           65536             1000      1.522       10.76       43.05          1.806       1.499       2.209     
32768      32768           131072            1000      3.157       10.38       41.52          10.033      3.021       4.605     
65536      65536           262144            1000      7.148       9.17        36.68          11.885      6.700       10.544    
131072     131072          524288            1000      15.610      8.40        33.59          55.399      14.890      19.452    
262144     262144          1048576           1000      31.173      8.41        33.64          60.626      30.229      40.913    
524288     524288          2097152           1000      62.521      8.39        33.54          126.112     60.891      98.774    
1048576    1048576         4194304           1000      128.605     8.15        32.61          288.353     123.961     204.621   

