the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.075       0.01        0.16           0.299       0.074       0.782     
2          2               24                1000      0.075       0.03        0.32           0.299       0.074       0.657     
4          4               48                1000      0.079       0.05        0.60           0.290       0.075       0.471     
8          8               96                1000      0.085       0.09        1.13           0.270       0.077       0.199     
16         16              192               1000      0.087       0.18        2.20           0.302       0.082       0.093     
32         32              384               1000      0.090       0.35        4.25           0.287       0.082       0.095     
64         64              768               1000      0.096       0.67        8.00           0.305       0.086       0.475     
128        128             1536              1000      0.106       1.21        14.51          0.309       0.103       0.307     
256        256             3072              1000      0.126       2.03        24.33          0.511       0.121       0.338     
512        512             6144              1000      0.176       2.92        35.00          0.391       0.172       0.400     
1024       1024            12288             1000      0.283       3.62        43.49          0.510       0.277       0.381     
2048       2048            24576             1000      0.523       3.92        47.03          0.810       0.499       1.028     
4096       4096            49152             1000      0.957       4.28        51.37          1.262       0.927       1.984     
8192       8192            98304             1000      1.832       4.47        53.66          2.272       1.790       2.855     
16384      16384           196608            1000      4.240       3.86        46.37          12.399      3.928       5.444     
32768      32768           393216            1000      8.312       3.94        47.31          13.881      7.896       10.432    
65536      65536           786432            1000      16.875      3.88        46.60          23.273      16.308      22.440    
131072     131072          1572864           1000      36.402      3.60        43.21          58.585      35.745      47.859    
262144     262144          3145728           1000      74.405      3.52        42.28          126.160     73.008      106.020   
524288     524288          6291456           1000      231.182     2.27        27.21          325.817     219.705     242.210   
1048576    1048576         12582912          1000      536.067     1.96        23.47          559.794     504.379     534.915   

