the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.074       0.01        0.11           0.364       0.073       0.154     
2          2               16                1000      0.075       0.03        0.21           0.227       0.074       0.090     
4          4               32                1000      0.077       0.05        0.42           0.308       0.076       0.105     
8          8               64                1000      0.081       0.10        0.79           0.300       0.079       0.080     
16         16              128               1000      0.085       0.19        1.50           0.233       0.083       0.299     
32         32              256               1000      0.096       0.33        2.66           0.464       0.093       0.335     
64         64              512               1000      0.115       0.56        4.45           0.331       0.112       0.276     
128        128             1024              1000      0.158       0.81        6.47           0.348       0.150       0.374     
256        256             2048              1000      0.232       1.10        8.82           0.622       0.227       0.350     
512        512             4096              1000      0.386       1.33        10.61          0.801       0.379       0.605     
1024       1024            8192              1000      0.697       1.47        11.76          1.037       0.684       1.506     
2048       2048            16384             1000      1.381       1.48        11.87          1.972       1.295       1.643     
4096       4096            32768             1000      2.868       1.43        11.42          3.664       2.536       5.087     
8192       8192            65536             1000      6.102       1.34        10.74          8.429       5.408       10.545    
16384      16384           131072            1000      15.674      1.05        8.36           26.202      14.446      22.432    
32768      32768           262144            1000      49.409      0.66        5.31           58.995      47.095      52.553    
65536      65536           524288            1000      102.186     0.64        5.13           112.040     99.580      105.389   
131072     131072          1048576           1000      217.664     0.60        4.82           227.965     213.936     221.389   
262144     262144          2097152           1000      505.818     0.52        4.15           523.243     450.890     521.641   
524288     524288          4194304           1000      1126.678    0.47        3.72           1161.926    1076.152    1153.940  
1048576    1048576         8388608           1000      1308.339    0.80        6.41           1444.911    1289.916    1449.853  

