the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.072       0.01        0.11           0.267       0.071       0.394     
2          2               16                1000      0.072       0.03        0.22           0.204       0.071       0.085     
4          4               32                1000      0.073       0.05        0.44           0.296       0.072       0.079     
8          8               64                1000      0.073       0.11        0.88           0.203       0.072       0.080     
16         16              128               1000      0.074       0.22        1.73           0.203       0.073       0.087     
32         32              256               1000      0.074       0.43        3.44           0.294       0.074       0.082     
64         64              512               1000      0.075       0.85        6.82           0.209       0.074       0.088     
128        128             1024              1000      0.075       1.70        13.63          0.082       0.075       0.108     
256        256             2048              1000      0.076       3.38        27.01          0.230       0.075       0.089     
512        512             4096              1000      0.076       6.72        53.78          0.206       0.076       0.083     
1024       1024            8192              1000      0.077       13.36       106.92         0.090       0.076       0.083     
2048       2048            16384             1000      0.077       26.47       211.75         0.206       0.077       0.084     
4096       4096            32768             1000      0.078       52.32       418.53         0.207       0.077       0.085     
8192       8192            65536             1000      0.079       104.07      832.57         0.090       0.078       0.085     
16384      16384           131072            1000      0.080       205.25      1641.99        0.294       0.078       0.106     
32768      32768           262144            1000      0.080       409.47      3275.73        0.266       0.078       0.107     
65536      65536           524288            1000      0.080       816.88      6535.06        0.269       0.079       0.099     
131072     131072          1048576           1000      0.081       1627.86     13022.87       0.295       0.080       0.086     
262144     262144          2097152           1000      0.080       3261.11     26088.86       0.269       0.080       0.106     
524288     524288          4194304           1000      0.081       6446.90     51575.23       0.267       0.080       0.282     
1048576    1048576         8388608           1000      0.081       12867.22    102937.76      0.307       0.081       0.100     

