the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.074       0.03        0.11           0.306       0.073       0.107     
2          4               16                1000      0.076       0.05        0.21           0.258       0.074       0.260     
4          8               32                1000      0.075       0.11        0.42           0.303       0.075       0.089     
8          16              64                1000      0.079       0.20        0.82           0.309       0.076       0.297     
16         32              128               1000      0.082       0.39        1.56           0.091       0.079       0.086     
32         64              256               1000      0.087       0.73        2.93           0.312       0.084       0.282     
64         128             512               1000      0.094       1.37        5.46           0.291       0.091       0.106     
128        256             1024              1000      0.114       2.24        8.94           0.531       0.112       0.121     
256        512             2048              1000      0.155       3.29        13.17          0.509       0.152       0.367     
512        1024            4096              1000      0.239       4.28        17.11          0.575       0.236       0.343     
1024       2048            8192              1000      0.408       5.02        20.10          0.561       0.402       0.556     
2048       4096            16384             1000      0.744       5.51        22.02          0.988       0.738       0.743     
4096       8192            32768             1000      1.413       5.80        23.19          1.624       1.408       1.776     
8192       16384           65536             1000      2.755       5.95        23.79          3.091       2.746       2.781     
16384      32768           131072            1000      5.459       6.00        24.01          9.842       5.409       5.651     
32768      65536           262144            1000      11.107      5.90        23.60          11.428      10.791      10.996    
65536      131072          524288            1000      21.847      6.00        24.00          27.671      21.498      21.837    
131072     262144          1048576           1000      43.281      6.06        24.23          49.690      42.913      43.446    
262144     524288          2097152           1000      86.145      6.09        24.34          92.627      85.703      86.243    
524288     1048576         4194304           1000      171.809     6.10        24.41          178.547     171.388     181.624   
1048576    2097152         8388608           1000      343.708     6.10        24.41          358.094     342.958     344.507   

