the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.074       0.01        0.11           0.376       0.072       0.567     
2          2               16                1000      0.075       0.03        0.21           0.283       0.073       0.299     
4          4               32                1000      0.077       0.05        0.42           0.312       0.075       0.370     
8          8               64                1000      0.080       0.10        0.80           0.303       0.078       0.284     
16         16              128               1000      0.084       0.19        1.52           0.307       0.082       0.096     
32         32              256               1000      0.095       0.34        2.70           0.357       0.093       0.411     
64         64              512               1000      0.114       0.56        4.50           0.353       0.111       0.338     
128        128             1024              1000      0.152       0.84        6.72           0.344       0.148       0.681     
256        256             2048              1000      0.232       1.10        8.84           0.604       0.223       0.478     
512        512             4096              1000      0.379       1.35        10.81          0.768       0.375       0.606     
1024       1024            8192              1000      0.680       1.51        12.05          1.068       0.674       1.490     
2048       2048            16384             1000      1.370       1.50        11.96          1.763       1.276       2.139     
4096       4096            32768             1000      2.758       1.49        11.88          3.618       2.496       4.743     
8192       8192            65536             1000      5.927       1.38        11.06          13.132      5.171       10.500    
16384      16384           131072            1000      15.506      1.06        8.45           21.968      14.259      22.625    
32768      32768           262144            1000      49.248      0.67        5.32           56.647      47.012      52.498    
65536      65536           524288            1000      102.033     0.64        5.14           110.071     99.047      104.502   
131072     131072          1048576           1000      217.926     0.60        4.81           234.070     213.800     222.338   
262144     262144          2097152           1000      507.908     0.52        4.13           521.814     459.519     527.547   
524288     524288          4194304           1000      1129.147    0.46        3.71           1152.800    1073.608    1150.198  
1048576    1048576         8388608           1000      1295.061    0.81        6.48           1388.090    1277.352    1435.260  

