the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.074       0.01        0.05           0.266       0.072       0.198     
2          2               8                 1000      0.075       0.03        0.11           0.295       0.074       0.109     
4          4               16                1000      0.075       0.05        0.21           0.208       0.075       0.103     
8          8               32                1000      0.079       0.10        0.41           0.304       0.077       0.087     
16         16              64                1000      0.083       0.19        0.77           0.308       0.082       0.275     
32         32              128               1000      0.099       0.32        1.30           0.283       0.097       0.105     
64         64              256               1000      0.129       0.50        1.99           0.330       0.125       0.161     
128        128             512               1000      0.187       0.68        2.73           0.323       0.184       0.291     
256        256             1024              1000      0.310       0.83        3.30           0.596       0.301       0.488     
512        512             2048              1000      0.544       0.94        3.76           0.720       0.535       0.567     
1024       1024            4096              1000      1.023       1.00        4.00           1.175       1.000       1.232     
2048       2048            8192              1000      2.017       1.02        4.06           2.194       1.932       2.132     
4096       4096            16384             1000      3.967       1.03        4.13           9.670       3.797       4.131     
8192       8192            32768             1000      7.822       1.05        4.19           15.950      7.525       8.020     
16384      16384           65536             1000      16.281      1.01        4.03           21.882      14.977      16.273    
32768      32768           131072            1000      32.244      1.02        4.06           39.190      29.879      32.344    
65536      65536           262144            1000      63.483      1.03        4.13           80.988      59.685      62.529    
131072     131072          524288            1000      125.704     1.04        4.17           136.992     119.367     124.379   
262144     262144          1048576           1000      251.164     1.04        4.17           287.806     238.513     260.925   
524288     524288          2097152           1000      502.773     1.04        4.17           538.915     476.894     506.241   
1048576    1048576         4194304           1000      1044.215    1.00        4.02           1073.030    956.702     1046.953  

