the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          3               4                 1000      0.118       0.03        0.03           0.425       0.111       0.584     
2          6               8                 1000      0.118       0.05        0.07           0.337       0.108       0.232     
4          12              16                1000      0.117       0.10        0.14           0.422       0.111       0.135     
8          24              32                1000      0.122       0.20        0.26           0.319       0.115       0.404     
16         48              64                1000      0.117       0.41        0.55           0.324       0.112       0.284     
32         96              128               1000      0.121       0.80        1.06           0.310       0.114       0.109     
64         192             256               1000      0.123       1.56        2.08           0.433       0.117       0.467     
128        384             512               1000      0.131       2.92        3.90           0.326       0.125       0.135     
256        768             1024              1000      0.146       5.27        7.03           0.344       0.138       0.332     
512        1536            2048              1000      0.187       8.20        10.93          0.444       0.176       0.216     
1024       3072            4096              1000      0.258       11.92       15.89          0.387       0.246       0.279     
2048       6144            8192              1000      0.399       15.41       20.54          0.628       0.391       0.475     
4096       12288           16384             1000      0.691       17.77       23.70          0.798       0.683       0.780     
8192       24576           32768             1000      1.297       18.95       25.27          1.529       1.282       1.511     
16384      49152           65536             1000      2.491       19.73       26.31          11.134      2.455       2.618     
32768      98304           131072            1000      4.973       19.77       26.36          14.631      4.813       5.964     
65536      196608          262144            1000      9.748       20.17       26.89          18.898      9.482       12.577    
131072     393216          524288            1000      19.219      20.46       27.28          32.196      18.768      22.108    
262144     786432          1048576           1000      38.182      20.60       27.46          84.181      37.434      54.747    
524288     1572864         2097152           1000      76.225      20.63       27.51          155.060     74.730      112.733   
1048576    3145728         4194304           1000      159.955     19.67       26.22          366.423     152.587     244.688   

