the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.739       0.01        0.03           8.340       0.640       2.140     
4          24              96                1000      0.717       0.03        0.13           1.000       0.640       1.180     
16         96              384               1000      0.737       0.13        0.52           1.020       0.660       1.420     
64         384             1536              1000      0.784       0.49        1.96           1.800       0.720       1.200     
256        1536            6144              1000      0.904       1.70        6.80           2.560       0.820       1.420     
1024       6144            24576             1000      1.325       4.64        18.55          9.080       1.240       5.120     
4096       24576           98304             1000      3.327       7.39        29.55          11.380      3.220       6.860     
16384      98304           393216            1000      10.410      9.44        37.77          11.620      10.260      21.780    
65536      393216          1572864           1000      92.131      4.27        17.07          116.020     89.460      136.380   
262144     1572864         6291456           1000      518.565     3.03        12.13          539.800     510.560     540.200   
1048576    6291456         25165824          1000      4049.590    1.55        6.21           4111.220    4009.180    4053.680  

