the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          7               16                1000      0.531       0.01        0.03           0.820       0.480       1.620     
2          14              32                1000      0.523       0.03        0.06           0.960       0.480       1.440     
4          28              64                1000      0.526       0.05        0.12           0.740       0.500       1.400     
8          56              128               1000      0.559       0.10        0.23           1.000       0.500       1.460     
16         112             256               1000      0.598       0.19        0.43           0.840       0.540       2.100     
32         224             512               1000      0.623       0.36        0.82           1.060       0.580       1.220     
64         448             1024              1000      0.735       0.61        1.39           7.080       0.680       1.800     
128        896             2048              1000      0.960       0.93        2.13           1.180       0.880       2.220     
256        1792            4096              1000      1.378       1.30        2.97           2.340       1.300       3.480     
512        3584            8192              1000      2.114       1.70        3.88           3.140       2.020       4.780     
1024       7168            16384             1000      3.449       2.08        4.75           12.980      3.320       12.160    
2048       14336           32768             1000      5.959       2.41        5.50           15.160      5.800       20.520    
4096       28672           65536             1000      11.656      2.46        5.62           21.660      11.420      31.660    
8192       57344           131072            1000      21.714      2.64        6.04           40.500      21.240      71.120    
16384      114688          262144            1000      43.582      2.63        6.01           132.200     41.920      130.900   
32768      229376          524288            1000      213.794     1.07        2.45           262.220     194.020     215.060   
65536      458752          1048576           1000      374.801     1.22        2.80           401.120     366.540     370.660   
131072     917504          2097152           1000      718.865     1.28        2.92           753.660     708.720     689.500   
262144     1835008         4194304           1000      1383.554    1.33        3.03           1464.140    1364.240    1398.760  
524288     3670016         8388608           1000      3116.368    1.18        2.69           3895.300    3082.760    3114.920  
1048576    7340032         16777216          1000      5244.290    1.40        3.20           5561.240    5220.860    5266.040  

