the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          8               24                1000      0.957       0.01        0.03           1.580       0.840       1.860     
2          16              48                1000      0.963       0.02        0.05           1.380       0.880       1.760     
4          32              96                1000      0.986       0.03        0.10           1.440       0.900       2.360     
8          64              192               1000      0.951       0.07        0.20           1.480       0.880       2.380     
16         128             384               1000      0.939       0.14        0.41           1.440       0.860       1.840     
32         256             768               1000      1.011       0.25        0.76           9.440       0.940       1.900     
64         512             1536              1000      1.197       0.43        1.28           9.180       1.120       1.960     
128        1024            3072              1000      1.508       0.68        2.04           1.940       1.420       2.440     
256        2048            6144              1000      2.117       0.97        2.90           2.660       2.040       3.780     
512        4096            12288             1000      3.506       1.17        3.50           13.440      3.260       4.680     
1024       8192            24576             1000      7.442       1.10        3.30           8.820       5.780       9.400     
2048       16384           49152             1000      13.456      1.22        3.65           26.540      10.860      18.900    
4096       32768           98304             1000      26.012      1.26        3.78           40.880      22.920      36.880    
8192       65536           196608            1000      52.702      1.24        3.73           71.240      47.600      80.320    
16384      131072          393216            1000      113.511     1.15        3.46           134.100     106.280     141.360   
32768      262144          786432            1000      240.576     1.09        3.27           283.120     214.720     266.740   
65536      524288          1572864           1000      424.013     1.24        3.71           597.580     395.160     444.920   
131072     1048576         3145728           1000      839.875     1.25        3.75           1763.000    787.880     893.720   
262144     2097152         6291456           1000      1660.156    1.26        3.79           1879.080    1577.940    1863.140  
524288     4194304         12582912          1000      3926.290    1.07        3.20           4496.860    3777.980    4190.300  
1048576    8388608         25165824          1000      7571.718    1.11        3.32           8863.380    7201.760    8772.040  

