the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.412       0.00        0.02           0.700       0.360       0.880     
2          2               16                1000      0.413       0.00        0.04           0.700       0.360       0.700     
4          4               32                1000      0.426       0.01        0.08           8.560       0.360       0.860     
8          8               64                1000      0.423       0.02        0.15           0.560       0.360       0.960     
16         16              128               1000      0.435       0.04        0.29           0.600       0.380       0.920     
32         32              256               1000      0.460       0.07        0.56           0.860       0.400       0.900     
64         64              512               1000      0.516       0.12        0.99           0.860       0.460       0.680     
128        128             1024              1000      0.858       0.15        1.19           244.460     0.560       0.820     
256        256             2048              1000      0.806       0.32        2.54           1.020       0.760       1.140     
512        512             4096              1000      1.208       0.42        3.39           1.740       1.140       1.500     
1024       1024            8192              1000      2.101       0.49        3.90           24.000      1.900       2.520     
2048       2048            16384             1000      3.822       0.54        4.29           5.940       3.460       3.880     
4096       4096            32768             1000      7.694       0.53        4.26           91.820      6.560       7.420     
8192       8192            65536             1000      14.259      0.57        4.60           44.160      12.940      14.420    
16384      16384           131072            1000      27.417      0.60        4.78           73.980      25.140      29.000    
32768      32768           262144            1000      54.836      0.60        4.78           82.760      49.680      66.240    
65536      65536           524288            1000      100.806     0.65        5.20           143.900     99.080      136.900   
131072     131072          1048576           1000      245.166     0.53        4.28           269.540     236.120     225.980   
262144     262144          2097152           1000      451.520     0.58        4.64           533.220     443.320     424.700   
524288     524288          4194304           1000      863.246     0.61        4.86           1000.040    852.660     840.780   
1048576    1048576         8388608           1000      1652.531    0.63        5.08           1698.300    1642.980    1661.220  

