the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.389       0.00        0.02           10.540      0.320       0.580     
2          2               16                1000      0.382       0.01        0.04           0.680       0.320       1.120     
4          4               32                1000      0.387       0.01        0.08           1.040       0.340       0.860     
8          8               64                1000      0.392       0.02        0.16           0.800       0.340       0.840     
16         16              128               1000      0.406       0.04        0.32           0.560       0.340       0.920     
32         32              256               1000      0.443       0.07        0.58           0.720       0.380       0.860     
64         64              512               1000      0.500       0.13        1.02           0.960       0.440       0.740     
128        128             1024              1000      0.596       0.21        1.72           0.920       0.540       1.400     
256        256             2048              1000      0.794       0.32        2.58           1.140       0.760       1.100     
512        512             4096              1000      1.188       0.43        3.45           1.700       1.120       1.620     
1024       1024            8192              1000      1.953       0.52        4.20           2.940       1.900       2.680     
2048       2048            16384             1000      3.881       0.53        4.22           378.060     3.440       3.920     
4096       4096            32768             1000      6.767       0.61        4.84           184.460     6.520       7.640     
8192       8192            65536             1000      13.256      0.62        4.94           51.180      13.020      15.580    
16384      16384           131072            1000      25.524      0.64        5.14           75.880      25.320      31.500    
32768      32768           262144            1000      50.389      0.65        5.20           82.900      49.880      66.080    
65536      65536           524288            1000      102.279     0.64        5.13           164.620     99.600      138.260   
131072     131072          1048576           1000      246.275     0.53        4.26           281.620     238.000     226.220   
262144     262144          2097152           1000      451.339     0.58        4.65           495.720     444.140     428.200   
524288     524288          4194304           1000      861.595     0.61        4.87           912.740     849.540     839.680   
1048576    1048576         8388608           1000      1653.412    0.63        5.07           1703.240    1643.000    2063.580  

