the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.393       0.01        0.02           0.780       0.340       1.500     
2          4               16                1000      0.397       0.01        0.04           0.580       0.340       0.700     
4          8               32                1000      0.413       0.02        0.08           7.860       0.340       0.880     
8          16              64                1000      0.409       0.04        0.16           0.600       0.340       0.820     
16         32              128               1000      0.424       0.08        0.30           0.600       0.400       0.620     
32         64              256               1000      0.455       0.14        0.56           0.880       0.400       0.620     
64         128             512               1000      0.515       0.25        0.99           0.700       0.460       0.820     
128        256             1024              1000      0.646       0.40        1.58           0.880       0.580       1.120     
256        512             2048              1000      0.926       0.55        2.21           8.660       0.860       1.660     
512        1024            4096              1000      1.433       0.71        2.86           1.900       1.380       2.360     
1024       2048            8192              1000      2.470       0.83        3.32           9.580       2.400       2.840     
2048       4096            16384             1000      4.566       0.90        3.59           12.640      4.480       5.820     
4096       8192            32768             1000      8.703       0.94        3.77           10.660      8.640       10.160    
8192       16384           65536             1000      16.968      0.97        3.86           24.720      16.780      25.480    
16384      32768           131072            1000      33.699      0.97        3.89           47.840      33.180      46.400    
32768      65536           262144            1000      68.472      0.96        3.83           115.860     65.960      80.540    
65536      131072          524288            1000      243.298     0.54        2.15           287.860     233.460     200.100   
131072     262144          1048576           1000      424.745     0.62        2.47           468.520     413.180     409.180   
262144     524288          2097152           1000      822.954     0.64        2.55           868.120     810.900     797.300   
524288     1048576         4194304           1000      1557.631    0.67        2.69           1701.040    1542.500    1545.880  
1048576    2097152         8388608           1000      2903.943    0.72        2.89           3415.860    2514.940    2851.120  

