the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.091       0.07        0.26           0.260       0.040       0.120     
2          12              48                1000      0.109       0.11        0.44           8.100       0.060       0.420     
4          24              96                1000      0.102       0.24        0.94           0.600       0.060       0.580     
8          48              192               1000      0.107       0.45        1.80           0.320       0.060       0.200     
16         96              384               1000      0.141       0.68        2.72           0.300       0.080       0.640     
32         192             768               1000      0.162       1.18        4.73           0.340       0.120       0.520     
64         384             1536              1000      0.225       1.71        6.83           7.380       0.180       0.320     
128        768             3072              1000      0.368       2.09        8.35           0.700       0.320       0.880     
256        1536            6144              1000      0.607       2.53        10.12          0.780       0.560       1.080     
512        3072            12288             1000      1.097       2.80        11.20          9.200       1.040       3.540     
1024       6144            24576             1000      2.394       2.57        10.27          4.220       2.160       5.960     
2048       12288           49152             1000      4.401       2.79        11.17          12.480      3.960       9.100     
4096       24576           98304             1000      8.261       2.97        11.90          16.420      7.940       13.680    
8192       49152           196608            1000      16.033      3.07        12.26          23.100      15.760      27.460    
16384      98304           393216            1000      31.662      3.10        12.42          63.760      31.020      62.660    
32768      196608          786432            1000      112.887     1.74        6.97           151.060     105.420     144.260   
65536      393216          1572864           1000      341.996     1.15        4.60           368.040     333.980     350.680   
131072     786432          3145728           1000      777.441     1.01        4.05           816.420     759.940     779.160   
262144     1572864         6291456           1000      1686.105    0.93        3.73           1718.140    1670.060    1674.900  
524288     3145728         12582912          1000      3670.536    0.86        3.43           3712.440    3646.680    3667.340  
1048576    6291456         25165824          1000      9248.329    0.68        2.72           9331.780    9211.280    9253.920  

