the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.287       0.00        0.01           0.700       0.240       0.460     
2          2               8                 1000      0.286       0.01        0.03           0.600       0.220       0.720     
4          4               16                1000      0.303       0.01        0.05           0.460       0.280       0.600     
8          8               32                1000      0.311       0.03        0.10           0.460       0.260       0.880     
16         16              64                1000      0.335       0.05        0.19           0.480       0.300       0.760     
32         32              128               1000      0.373       0.09        0.34           0.540       0.360       0.860     
64         64              256               1000      0.441       0.15        0.58           0.960       0.400       1.100     
128        128             512               1000      0.594       0.22        0.86           0.760       0.560       0.920     
256        256             1024              1000      0.833       0.31        1.23           1.140       0.780       1.320     
512        512             2048              1000      1.398       0.37        1.47           1.940       1.360       1.740     
1024       1024            4096              1000      2.469       0.41        1.66           9.660       2.420       2.720     
2048       2048            8192              1000      4.658       0.44        1.76           97.400      4.500       4.680     
4096       4096            16384             1000      8.760       0.47        1.87           154.020     8.560       9.000     
8192       8192            32768             1000      16.957      0.48        1.93           152.280     16.740      17.000    
16384      16384           65536             1000      33.283      0.49        1.97           104.260     33.120      34.480    
32768      32768           131072            1000      66.538      0.49        1.97           186.180     65.900      67.340    
65536      65536           262144            1000      132.075     0.50        1.98           275.380     131.440     137.440   
131072     131072          524288            1000      265.097     0.49        1.98           366.800     262.560     276.160   
262144     262144          1048576           1000      547.674     0.48        1.91           607.360     541.240     554.100   
524288     524288          2097152           1000      1077.362    0.49        1.95           1112.060    1066.260    1080.380  
1048576    1048576         4194304           1000      2194.502    0.48        1.91           3285.500    2172.420    2217.040  

