the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.479       0.00        0.03           0.940       0.440       0.840     
2          2               24                1000      0.490       0.00        0.05           0.660       0.440       1.900     
4          4               48                1000      0.500       0.01        0.10           0.700       0.480       1.280     
8          8               96                1000      0.501       0.02        0.19           0.680       0.460       1.740     
16         16              192               1000      0.513       0.03        0.37           0.840       0.460       1.780     
32         32              384               1000      0.561       0.06        0.68           0.760       0.520       1.440     
64         64              768               1000      0.649       0.10        1.18           1.080       0.580       1.400     
128        128             1536              1000      0.759       0.17        2.02           0.900       0.720       1.660     
256        256             3072              1000      1.005       0.25        3.06           2.080       0.960       2.060     
512        512             6144              1000      1.546       0.33        3.97           8.780       1.500       2.800     
1024       1024            12288             1000      2.585       0.40        4.75           8.540       2.540       3.280     
2048       2048            24576             1000      4.643       0.44        5.29           10.000      4.600       4.840     
4096       4096            49152             1000      8.861       0.46        5.55           66.660      8.740       9.840     
8192       8192            98304             1000      17.059      0.48        5.76           56.360      16.960      21.420    
16384      16384           196608            1000      33.552      0.49        5.86           82.800      33.320      39.540    
32768      32768           393216            1000      66.730      0.49        5.89           92.140      66.240      87.800    
65536      65536           786432            1000      140.625     0.47        5.59           185.240     136.720     181.200   
131072     131072          1572864           1000      322.471     0.41        4.88           350.800     311.960     314.880   
262144     262144          3145728           1000      645.232     0.41        4.88           668.680     632.560     630.800   
524288     524288          6291456           1000      1226.735    0.43        5.13           1269.680    1210.040    1220.900  
1048576    1048576         12582912          1000      2381.790    0.44        5.28           2448.980    2358.360    2391.260  

