the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.271       0.00        0.01           0.440       0.240       0.460     
2          2               8                 1000      0.275       0.01        0.03           0.520       0.240       0.760     
4          4               16                1000      0.281       0.01        0.06           0.860       0.220       0.740     
8          8               32                1000      0.290       0.03        0.11           0.480       0.220       0.540     
16         16              64                1000      0.300       0.05        0.21           0.480       0.260       0.600     
32         32              128               1000      0.324       0.10        0.40           0.680       0.280       0.420     
64         64              256               1000      0.433       0.15        0.59           0.760       0.380       0.680     
128        128             512               1000      0.586       0.22        0.87           0.780       0.540       0.880     
256        256             1024              1000      0.905       0.28        1.13           1.220       0.860       1.260     
512        512             2048              1000      1.564       0.33        1.31           1.960       1.500       1.900     
1024       1024            4096              1000      2.850       0.36        1.44           10.740      2.780       3.100     
2048       2048            8192              1000      5.430       0.38        1.51           13.780      5.360       5.600     
4096       4096            16384             1000      10.586      0.39        1.55           20.720      10.500      10.660    
8192       8192            32768             1000      20.835      0.39        1.57           29.420      20.740      21.080    
16384      16384           65536             1000      41.383      0.40        1.58           54.700      41.240      42.200    
32768      32768           131072            1000      82.348      0.40        1.59           90.340      82.180      83.040    
65536      65536           262144            1000      164.441     0.40        1.59           173.540     164.100     182.940   
131072     131072          524288            1000      328.723     0.40        1.59           348.020     327.940     339.660   
262144     262144          1048576           1000      677.427     0.39        1.55           700.040     670.600     683.600   
524288     524288          2097152           1000      1324.096    0.40        1.58           1352.540    1316.500    1336.800  
1048576    1048576         4194304           1000      2725.640    0.38        1.54           2740.040    2699.700    2726.800  

