the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.368       0.00        0.02           0.660       0.340       0.680     
2          2               16                1000      0.384       0.01        0.04           0.660       0.360       0.780     
4          4               32                1000      0.372       0.01        0.09           0.620       0.340       0.820     
8          8               64                1000      0.375       0.02        0.17           0.660       0.360       0.980     
16         16              128               1000      0.388       0.04        0.33           0.580       0.360       1.560     
32         32              256               1000      0.402       0.08        0.64           0.780       0.380       0.800     
64         64              512               1000      0.452       0.14        1.13           0.700       0.440       0.620     
128        128             1024              1000      0.531       0.24        1.93           5.960       0.500       1.020     
256        256             2048              1000      0.676       0.38        3.03           0.820       0.660       1.120     
512        512             4096              1000      1.013       0.51        4.04           1.340       0.960       1.880     
1024       1024            8192              1000      1.591       0.64        5.15           1.800       1.560       2.420     
2048       2048            16384             1000      2.828       0.72        5.79           9.880       2.760       3.720     
4096       4096            32768             1000      5.234       0.78        6.26           15.920      5.160       7.220     
8192       8192            65536             1000      10.499      0.78        6.24           15.140      10.340      14.500    
16384      16384           131072            1000      19.993      0.82        6.56           26.900      19.880      29.500    
32768      32768           262144            1000      39.197      0.84        6.69           53.680      38.680      68.340    
65536      65536           524288            1000      78.103      0.84        6.71           126.320     77.260      112.700   
131072     131072          1048576           1000      230.922     0.57        4.54           252.280     196.060     202.420   
262144     262144          2097152           1000      396.200     0.66        5.29           419.220     385.380     400.460   
524288     524288          4194304           1000      719.895     0.73        5.83           757.760     707.220     717.340   
1048576    1048576         8388608           1000      1311.120    0.80        6.40           1349.180    1300.120    1327.620  

