the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.376       0.00        0.02           0.640       0.340       0.580     
2          2               16                1000      0.378       0.01        0.04           0.580       0.320       0.840     
4          4               32                1000      0.387       0.01        0.08           0.580       0.320       0.880     
8          8               64                1000      0.389       0.02        0.16           0.940       0.340       1.160     
16         16              128               1000      0.667       0.02        0.19           267.620     0.340       0.860     
32         32              256               1000      0.434       0.07        0.59           0.640       0.380       0.780     
64         64              512               1000      0.492       0.13        1.04           0.680       0.460       0.860     
128        128             1024              1000      0.588       0.22        1.74           0.740       0.540       1.060     
256        256             2048              1000      0.779       0.33        2.63           1.380       0.720       0.960     
512        512             4096              1000      1.179       0.43        3.47           1.660       1.120       1.360     
1024       1024            8192              1000      2.052       0.50        3.99           3.320       1.900       2.580     
2048       2048            16384             1000      3.500       0.59        4.68           10.640      3.440       4.440     
4096       4096            32768             1000      6.584       0.62        4.98           14.300      6.500       7.520     
8192       8192            65536             1000      13.192      0.62        4.97           53.640      12.740      15.980    
16384      16384           131072            1000      25.492      0.64        5.14           45.980      25.280      32.420    
32768      32768           262144            1000      50.219      0.65        5.22           85.040      49.880      68.300    
65536      65536           524288            1000      100.913     0.65        5.20           168.480     99.080      133.900   
131072     131072          1048576           1000      246.088     0.53        4.26           269.280     237.300     223.880   
262144     262144          2097152           1000      452.060     0.58        4.64           585.520     444.260     427.080   
524288     524288          4194304           1000      862.473     0.61        4.86           1021.560    853.380     856.640   
1048576    1048576         8388608           1000      1653.840    0.63        5.07           1683.140    1643.100    2059.580  

