the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          3               8                 1000      0.243       0.01        0.03           0.440       0.200       0.900     
2          6               16                1000      0.244       0.02        0.07           0.400       0.200       0.560     
4          12              32                1000      0.253       0.05        0.13           0.400       0.220       0.540     
8          24              64                1000      0.257       0.09        0.25           0.740       0.240       0.760     
16         48              128               1000      0.264       0.18        0.48           0.460       0.220       0.680     
32         96              256               1000      0.280       0.34        0.91           0.480       0.240       0.640     
64         192             512               1000      0.352       0.54        1.45           0.580       0.320       0.720     
128        384             1024              1000      0.479       0.80        2.14           0.640       0.440       0.600     
256        768             2048              1000      0.738       1.04        2.77           1.180       0.720       0.920     
512        1536            4096              1000      1.251       1.23        3.28           1.480       1.200       1.800     
1024       3072            8192              1000      2.307       1.33        3.55           2.680       2.280       2.640     
2048       6144            16384             1000      4.390       1.40        3.73           12.960      4.340       4.900     
4096       12288           32768             1000      8.513       1.44        3.85           17.020      8.460       12.360    
8192       24576           65536             1000      16.739      1.47        3.92           26.220      16.660      24.400    
16384      49152           131072            1000      33.140      1.48        3.96           41.840      33.000      47.240    
32768      98304           262144            1000      66.067      1.49        3.97           80.720      65.800      90.800    
65536      196608          524288            1000      132.362     1.49        3.96           164.580     131.300     171.760   
131072     393216          1048576           1000      326.597     1.20        3.21           360.280     317.720     288.880   
262144     786432          2097152           1000      565.015     1.39        3.71           584.900     557.580     552.340   
524288     1572864         4194304           1000      1108.855    1.42        3.78           1213.580    1101.400    1102.520  
1048576    3145728         8388608           1000      2210.044    1.42        3.80           2238.680    2198.140    2218.980  

