the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.076       0.08        0.31           0.140       0.040       0.100     
2          12              48                1000      0.334       0.04        0.14           13.960      0.260       1.100     
4          24              96                1000      0.320       0.07        0.30           0.500       0.260       0.540     
8          48              192               1000      0.331       0.14        0.58           0.480       0.280       0.740     
16         96              384               1000      0.342       0.28        1.12           0.620       0.300       0.420     
32         192             768               1000      0.374       0.51        2.05           0.520       0.340       0.580     
64         384             1536              1000      0.545       0.70        2.82           8.760       0.480       0.700     
128        768             3072              1000      0.783       0.98        3.92           0.920       0.760       1.120     
256        1536            6144              1000      1.308       1.17        4.70           1.480       1.280       1.660     
512        3072            12288             1000      2.337       1.31        5.26           2.480       2.280       2.400     
1024       6144            24576             1000      4.380       1.40        5.61           4.540       4.340       4.940     
2048       12288           49152             1000      8.508       1.44        5.78           17.460      8.440       8.800     
4096       24576           98304             1000      16.739      1.47        5.87           26.320      16.640      17.160    
8192       49152           196608            1000      33.204      1.48        5.92           44.000      33.080      33.540    
16384      98304           393216            1000      66.001      1.49        5.96           74.320      65.820      66.680    
32768      196608          786432            1000      131.622     1.49        5.97           145.220     131.360     132.660   
65536      393216          1572864           1000      262.969     1.50        5.98           277.320     262.420     266.680   
131072     786432          3145728           1000      525.581     1.50        5.99           543.280     524.540     537.820   
262144     1572864         6291456           1000      1085.819    1.45        5.79           1107.980    1077.280    1081.960  
524288     3145728         12582912          1000      2157.070    1.46        5.83           2180.280    2142.020    2169.220  
1048576    6291456         25165824          1000      4324.236    1.45        5.82           4347.680    4315.740    4324.280  

