the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.730       0.01        0.03           1.440       0.680       1.020     
4          24              96                1000      0.751       0.03        0.13           1.120       0.680       1.760     
16         96              384               1000      0.774       0.12        0.50           0.980       0.700       0.980     
64         384             1536              1000      0.917       0.42        1.67           1.180       0.840       1.800     
256        1536            6144              1000      1.250       1.23        4.91           1.880       1.160       2.420     
1024       6144            24576             1000      2.724       2.26        9.02           3.200       2.620       6.420     
4096       24576           98304             1000      9.233       2.66        10.65          16.680      9.060       18.040    
16384      98304           393216            1000      87.073      1.13        4.52           104.140     86.640      139.180   
65536      393216          1572864           1000      516.484     0.76        3.05           900.320     494.260     590.320   
262144     1572864         6291456           1000      4834.850    0.33        1.30           6510.700    4741.220    4925.400  
1048576    6291456         25165824          1000      75382.612   0.08        0.33           80689.740   69236.920   79176.060 

