the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               16                1000      0.619       0.00        0.03           2.280       0.520       0.960     
2          4               32                1000      0.585       0.01        0.05           2.060       0.540       1.260     
4          8               64                1000      0.559       0.01        0.11           0.860       0.540       1.420     
8          16              128               1000      0.574       0.03        0.22           0.860       0.540       1.080     
16         32              256               1000      0.636       0.05        0.40           1.120       0.620       0.880     
32         64              512               1000      0.803       0.08        0.64           1.080       0.760       1.760     
64         128             1024              1000      1.095       0.12        0.94           10.620      1.060       1.680     
128        256             2048              1000      1.635       0.16        1.25           2.040       1.600       2.120     
256        512             4096              1000      2.716       0.19        1.51           3.200       2.680       3.400     
512        1024            8192              1000      4.919       0.21        1.67           16.580      4.860       5.360     
1024       2048            16384             1000      9.283       0.22        1.76           18.240      9.240       10.080    
2048       4096            32768             1000      18.025      0.23        1.82           26.460      17.960      18.400    
4096       8192            65536             1000      35.504      0.23        1.85           43.460      35.380      36.020    
8192       16384           131072            1000      70.348      0.23        1.86           78.000      70.200      71.760    
16384      32768           262144            1000      140.207     0.23        1.87           153.700     139.840     141.820   
32768      65536           524288            1000      279.640     0.23        1.87           287.880     279.100     284.460   
65536      131072          1048576           1000      562.675     0.23        1.86           579.100     558.780     570.340   
131072     262144          2097152           1000      1123.831    0.23        1.87           1150.380    1117.780    1138.320  
262144     524288          4194304           1000      2285.775    0.23        1.83           2308.660    2262.140    2302.520  
524288     1048576         8388608           1000      4618.772    0.23        1.82           4633.340    4557.460    4616.620  
1048576    2097152         16777216          1000      9244.188    0.23        1.81           9296.240    9192.280    9243.080  

