the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          7               16                1000      0.574       0.01        0.03           1.880       0.540       0.960     
2          14              32                1000      0.583       0.02        0.05           0.960       0.520       1.240     
4          28              64                1000      0.583       0.05        0.11           0.760       0.540       1.280     
8          56              128               1000      0.593       0.09        0.22           0.780       0.560       0.660     
16         112             256               1000      0.627       0.18        0.41           1.240       0.580       0.980     
32         224             512               1000      0.675       0.33        0.76           1.540       0.620       1.120     
64         448             1024              1000      0.776       0.58        1.32           1.080       0.740       0.880     
128        896             2048              1000      0.971       0.92        2.11           2.120       0.920       1.440     
256        1792            4096              1000      1.323       1.35        3.10           1.620       1.260       2.020     
512        3584            8192              1000      2.090       1.71        3.92           3.200       1.960       2.480     
1024       7168            16384             1000      3.555       2.02        4.61           113.160     3.340       4.680     
2048       14336           32768             1000      5.867       2.44        5.59           14.280      5.760       10.480    
4096       28672           65536             1000      11.049      2.60        5.93           19.680      10.960      16.720    
8192       57344           131072            1000      21.337      2.69        6.14           40.660      21.200      30.440    
16384      114688          262144            1000      42.221      2.72        6.21           197.360     41.740      65.480    
32768      229376          524288            1000      83.759      2.74        6.26           148.520     82.880      121.720   
65536      458752          1048576           1000      251.185     1.83        4.17           330.560     242.280     206.940   
131072     917504          2097152           1000      389.578     2.36        5.38           410.860     382.680     370.900   
262144     1835008         4194304           1000      745.671     2.46        5.62           783.880     734.420     724.800   
524288     3670016         8388608           1000      1396.849    2.63        6.01           1463.640    1387.360    1388.220  
1048576    7340032         16777216          1000      3028.669    2.42        5.54           3570.440    3005.480    3046.180  

