the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          7               16                1000      0.762       0.01        0.02           174.580     0.540       0.940     
2          14              32                1000      0.592       0.02        0.05           0.860       0.540       1.220     
4          28              64                1000      0.584       0.05        0.11           1.440       0.540       1.000     
8          56              128               1000      0.599       0.09        0.21           1.060       0.540       1.180     
16         112             256               1000      0.632       0.18        0.41           0.780       0.580       1.520     
32         224             512               1000      0.689       0.33        0.74           0.980       0.620       1.060     
64         448             1024              1000      0.783       0.57        1.31           1.300       0.720       1.240     
128        896             2048              1000      0.977       0.92        2.10           12.660      0.920       1.340     
256        1792            4096              1000      1.346       1.33        3.04           1.960       1.260       1.880     
512        3584            8192              1000      2.176       1.65        3.76           72.940      2.000       2.840     
1024       7168            16384             1000      3.468       2.07        4.72           11.880      3.340       5.360     
2048       14336           32768             1000      5.886       2.44        5.57           11.180      5.800       9.220     
4096       28672           65536             1000      11.089      2.59        5.91           21.540      10.960      16.200    
8192       57344           131072            1000      21.352      2.69        6.14           30.400      21.220      28.740    
16384      114688          262144            1000      42.249      2.71        6.20           136.580     41.760      76.560    
32768      229376          524288            1000      83.665      2.74        6.27           146.800     82.840      115.020   
65536      458752          1048576           1000      254.263     1.80        4.12           359.000     242.020     208.840   
131072     917504          2097152           1000      393.636     2.33        5.33           441.740     384.880     396.740   
262144     1835008         4194304           1000      751.160     2.44        5.58           813.380     741.760     729.300   
524288     3670016         8388608           1000      1397.057    2.63        6.00           1466.640    1387.240    1409.860  
1048576    7340032         16777216          1000      3029.162    2.42        5.54           3215.540    3007.520    3032.800  

